dataset,fold,sentinel_meta_fold,sentinel_subject_hash,a_subject_hash,a_trial_count,steps,batch_size,schedule_batch_reference,schedule_sha256,tau,B_out_min_class_support,checkpoint_sha256
OpenBMI,4,0,ff91850c34b320cb1564dce1a942b35e782ef02285ecef32c7d78b49e79241bf,98e529a4e3d3742f01050738154fd7df6df0ffe99909a517d40dda52267698e2,7000,55,64,128,c183d7a3b794cd4b97d19162b2197515d8a9768e71c2c87053c412344289e3d9,2.343686819076538,36,4b6db8d980d2ac599243a310adb94064a2dd78b4d594466823319e36c799d29d
OpenBMI,4,1,9f6d48664dd2a04c4e30918f801cfeeae507ed57b2212be8ce63bedf6eadf23f,e0cafa6272187f52ef60b357d3b2952b1f073c469f3b5029e7a38a777cccbc9b,7000,55,64,128,f38df61816f92c8e4c68b9fef7029599feda72cc2a5220142b28415cb55ddc61,2.343686819076538,36,4b6db8d980d2ac599243a310adb94064a2dd78b4d594466823319e36c799d29d
OpenBMI,4,2,00046f944ec6423ac7c39a25dd5965d544f8dcfb343b48956515df9d660b5f3b,847489b21e084c078a1716158436de2947a2e7e863a33adaf78a517fc0b2df62,7000,55,64,128,0ee9d65bc08c110afd1af68588106022ae65f9f046dc4bdfcd6249cc28894ce2,2.343686819076538,36,4b6db8d980d2ac599243a310adb94064a2dd78b4d594466823319e36c799d29d
OpenBMI,4,3,c34afdad5471acc60f272dccf420cc2ba72f75e06237cf08e641c0fa8baf6820,ce08344ec4650c21e9dbf5a4189be35f5f896cea4cb97f4aa81b7508f733c4c7,7000,55,64,128,16e9e6774767245b325ef32019f2d86004517980c4427a63444a99d60138b0f5,2.343686819076538,36,4b6db8d980d2ac599243a310adb94064a2dd78b4d594466823319e36c799d29d
OpenBMI,4,4,0f376be4a3a3e7696bb7f28d67fafd16c0e7eaeb8706a8f993fa26632fdc0f3b,c2998373919965618f748bb23962bedbd3fc9371cf235ab934ade5f3ae265d9b,7200,57,64,128,45b5131ba0be7003f615ebe304d9a35823b8d307280663acef0607907393757c,2.343686819076538,36,4b6db8d980d2ac599243a310adb94064a2dd78b4d594466823319e36c799d29d
WBCIC,0,0,afcbac8872cec3558ea679333bd3ce7d4069df1402438dc15806d47c9301a6b5,1ebf50165a479aba44cd6ac86ecd0b766bf2cdf57a563e742e0f900e48ebd7b7,9996,79,64,128,bb43f87dbf5b9adf875f721071b2bbdc176a88156520f55e09b1daf023f638ae,1.2805280685424805,136,b89b046faecbe5684e0203adaaf548d4a0d8817bef7bb4268b2d3e4112a741d3
WBCIC,0,1,7ffd5dd8e782a271046cd765011c036c840aef9c1712f3ccc5be47527604096f,6900fec1c0fd7e285657e26cba988e21121919db2c16ce62a4be8ab564829177,9998,79,64,128,938ad270c07dd13bd24404ab30089b987e5c1f3d05c5bb783a049549679c2270,1.2805280685424805,135,b89b046faecbe5684e0203adaaf548d4a0d8817bef7bb4268b2d3e4112a741d3
WBCIC,0,2,f2fffd26188fde5837188e6b8ed06eb85afaebe9568608d7b4d52bb3380c5610,e3edbd66613ed8324bfa38c6a6237caf0d8e1ce003699c2c1fe757dd56690b55,10397,82,64,128,987ee153c31da99a8171cfee8fb5966e55019d9eb9a6c10a6b6beab39999d344,1.2805280685424805,135,b89b046faecbe5684e0203adaaf548d4a0d8817bef7bb4268b2d3e4112a741d3
WBCIC,0,3,2f19ebab9753e11806f8db356fd66caa9f9d4ec5301ddc5e9733ff8f9f6bcc6c,d7d9f09bedff631e2ee784a3cc60e06478623d9722f9aee6dad6e1e739a353c9,10396,82,64,128,1474fe9d4828ea45750ea70cfd58da293a981d83f5f6b99650eee1e6dc947792,1.2805280685424805,136,b89b046faecbe5684e0203adaaf548d4a0d8817bef7bb4268b2d3e4112a741d3
WBCIC,0,4,9c1b8cd58b846b9300d6e398b3464e548401e8e246582c4e2f517389fcfa42b8,e734431b329de899ba9af97d19b0c91df270b3294659f525581848ce16dad12e,10397,82,64,128,697b557fcf081e10cfeb5d823b1c4eac7caa24c363746ad24cf69d24faf09d4f,1.2805280685424805,135,b89b046faecbe5684e0203adaaf548d4a0d8817bef7bb4268b2d3e4112a741d3
WBCIC,1,0,b830b987e4f77d94b25c93e0b9c304d27b4a282f76bfa4fa8e745cc6b2406116,5501730e489be5681e213a4d1acf753174bc8631718f3797e28cf05541be0704,10396,82,64,128,c37019869b4444796003a814ae1510da43cd5f66499214c4090b4e9caf36f11f,1.120287299156189,136,240473b284b45c240ee56021ccf017f86d6db0eaeb54b80fc3dc28b1e4bfe543
WBCIC,1,1,8459e063fa6014fa73456d313c7ba572fdf3d4a56b142f24e673ce663f4733ef,51368d56ad1b7160f5753ad42373c92b823a0eee0aacbc7415f2450376554030,10399,82,64,128,f28f0821235b8e7707a6db9df6ed0f5aff87ca8f86f8c61dbf087450257c7393,1.120287299156189,135,240473b284b45c240ee56021ccf017f86d6db0eaeb54b80fc3dc28b1e4bfe543
WBCIC,1,2,c69d0b2532500421683b2cd60268c6adb6c2a498b99a1c9d62728dcd6bd1ab5b,ac6614bc9f12c62845b3b9a54e4b6ca3a817caaddc0e430324d41ddda12fe58d,10396,82,64,128,fc207cc98b57d7ac6d87fc3417c4f805c87bc8b5dbc5956ee03dfd8a55b34d3a,1.120287299156189,136,240473b284b45c240ee56021ccf017f86d6db0eaeb54b80fc3dc28b1e4bfe543
WBCIC,1,3,c9c41c8255bd7e03562cb1394c2a69b4c536738df4230d0ecfd328a86e96ce6a,e219ed7d6d53c0938a9cf931d83d7b2dcb3ec583466d341cfd5fe21f190e3f35,10796,85,64,128,62ccdc042af0a9f5f26cfab14671a06cddd8c84e7213bb945c6f1ed6bd65e256,1.120287299156189,136,240473b284b45c240ee56021ccf017f86d6db0eaeb54b80fc3dc28b1e4bfe543
WBCIC,1,4,928dd99a12d7caa0f562d9ca431e546b23259873f18de7894376b14d528457fc,38a042d0b61396596a0030c899b255bab5f00df487b4834ce9a287a455d72ae9,10797,85,64,128,2c2c466a278dd6e38b4619361e126501c913a60afd698c7f8b784684990c693f,1.120287299156189,135,240473b284b45c240ee56021ccf017f86d6db0eaeb54b80fc3dc28b1e4bfe543
WBCIC,2,0,bfd046fb54b6f7d953861d8660fa2c8b1419c5ab83e31f48c9e52889280d8cbe,136ead0f0a151d87807e733d3a0d00af223362ef68be62c7f870dd9dcd78293b,10397,82,64,128,80fb045e9a73f206418a248787681260178e51aa16fccdf381cb9c13186d5773,2.680941343307495,136,3b8e20601b965b57eee6ae363ccd58118d7f160ecfeef4fc1592847bd7f7ef08
WBCIC,2,1,a32c8576cdd39cc39e3df538fad94705fd034efad4305d708e4670185c19c197,9a16aff3c7de9338662299f537ea56444ae2b4490bc59acf365e8438cdda1dfa,10398,82,64,128,4b6441b6dd2787839174b1e349609379cc37db1b7d806ddfd19ff29a50a22132,2.680941343307495,135,3b8e20601b965b57eee6ae363ccd58118d7f160ecfeef4fc1592847bd7f7ef08
WBCIC,2,2,9288689ec51e2323eac94f2400f8c352b7f6b56b210617e26fe81b25d840f6e4,16bb281f59459205e3a1d9e28ed22770dc95a233af55321c98f8200ade1e088e,10398,82,64,128,e9dd51e5ce19418bd439c2ac43c7fa03131581208c35a76481c87a07b5d00581,2.680941343307495,135,3b8e20601b965b57eee6ae363ccd58118d7f160ecfeef4fc1592847bd7f7ef08
WBCIC,2,3,8c8ebb9070a80e6c1f432af29eb835252038c238cc1b728554bd451db81fda78,560d8d65f16d9c0228e8f8d2bf1e31747bb18be411feb0e952d8bce6fdb6a3a1,10797,85,64,128,0ec70a8ce550e49957a58314e8e2b30624e475a93b4d625e68d1a07a5685870a,2.680941343307495,136,3b8e20601b965b57eee6ae363ccd58118d7f160ecfeef4fc1592847bd7f7ef08
WBCIC,2,4,ac4be62df0dcd39d43608d08168e95cf7a531be1f276df597d959345621cb0a0,2d851637e22d2d7d295ae9bb07f35013c1d79e485f7965e5efb892685dea6e5c,10798,85,64,128,332745448a50d22225bdf2dd5a6673344d123d97be85eb230d21e95946506dd1,2.680941343307495,135,3b8e20601b965b57eee6ae363ccd58118d7f160ecfeef4fc1592847bd7f7ef08
WBCIC,3,0,560e2b7aac435999da083b210aaac7a63572703f9b2fb59136d7c7e1cca8e0c3,95cff8b6d1b8a782fee19bb82ecb049c50478d9c601729257341b20b8825fab0,10399,82,64,128,759316c84c23de16075b860028d01119559a524d71df7b835f801f24ec771db3,1.9502851963043213,135,27849e33109bf8cdd75a6791b104e04ad2a2e0a45f9e16d534aec5c6a0667253
WBCIC,3,1,b70207b62d2c1bd4837b425db338db0374102ab50daac572845008cdee9431bd,408a9ba54a7d9e2cb09e3ba254200655db353c351b9e59b19bd75bb796ddb3ad,10399,82,64,128,ca5171bf59531b5d407569cf9e60ac71c9bee8f43adf08607765ccbfe15d2963,1.9502851963043213,135,27849e33109bf8cdd75a6791b104e04ad2a2e0a45f9e16d534aec5c6a0667253
WBCIC,3,2,db3ccdc6f3f4bb7d996932c34070189a78f66347f6aa46f9ae9836f89aff5415,fdab7b4907008b37c2ea726d6c30c1b2533dcffd687f114bc4bcdca4d3f445ea,10398,82,64,128,2099af23a34ba3bbda3fc5eab0f70559a27e155e48ceb2ec3ee6bdb99bd4d4c8,1.9502851963043213,136,27849e33109bf8cdd75a6791b104e04ad2a2e0a45f9e16d534aec5c6a0667253
WBCIC,3,3,3d7ee55d8cb86b7052b383736728b56a5e79ec761ac00d0b1c0747c86ba2068d,f6f7e9e6475715b4a4a0c720e36d61cd3c59eb2ca22eca84fe7afbb2dd20cf48,10798,85,64,128,38ad7552bd2ee4e7d4819d98c51110ef7f3a17764da85cb13609fb1f9d50ad42,1.9502851963043213,136,27849e33109bf8cdd75a6791b104e04ad2a2e0a45f9e16d534aec5c6a0667253
WBCIC,3,4,2ac3d788666ad27350ae9111505fc8fb3d69cb296c0c4bd2a1ff97706506734c,e4cd34bdcda9234b9e31e1fb3e2c96e0a72373c8505ea78264d04c6059bc08ff,10798,85,64,128,523766484ddb2ff86d899f5759014cd419a3f684c291cb00e215ced238509e88,1.9502851963043213,136,27849e33109bf8cdd75a6791b104e04ad2a2e0a45f9e16d534aec5c6a0667253
WBCIC,4,0,bb96a66dbff187aafcee47c2b4cf3fe51b6ae9fc0f88214aaf5c68a665598f8f,26ff4e77268d67e6fef1f9978f89fd64671fabef62e3e2273cf044d0972b048b,10398,82,64,128,4589ff5950bb4e735393096d3bcb4fd888cc68a341152470bc451ef4a3a84b8a,2.3118042945861816,135,53d402c80f3f1c23fd70489dd83e75727eeb3b221364fc309c125ce1af888533
WBCIC,4,1,99f437a4e51dc6b0c5d15cde3b2d76ce80aa5a46770d63a290722000912c51e6,0ae013ea64c6f8cf8ff321ec4fad616fcfdb1c37ae3e312a35ac8e3381cae91b,10397,82,64,128,ab285f9dc9f50bd7e3b20c3a2f01d10be066d2815b3cc10a2e83c1eb22cf1efa,2.3118042945861816,136,53d402c80f3f1c23fd70489dd83e75727eeb3b221364fc309c125ce1af888533
WBCIC,4,2,314e0ccfe6d98b380588454afcf24da545f8a5dea5624530722324f2fde0fff3,2fd2f218fba71fe9b8930c77619d0a2fb79f25524229e2e2c3bacdc01d4f0840,10398,82,64,128,84e71a3e18e50d23a1bf0b832ce722a7d5beac05e6518fcd34d57ee4dd41ad1c,2.3118042945861816,135,53d402c80f3f1c23fd70489dd83e75727eeb3b221364fc309c125ce1af888533
WBCIC,4,3,ec81c972a0837c8163c69001a8fb3310d66a7f691f115d67057e776c379bedb8,ea11db123c3d16a5134f7bfcc29c2b90f1feef861b0065051ff97ba21dc7edab,10798,85,64,128,5a4eabe700ab81b467bc7354523b0a25715ee347cceea30ffb40e9808da9d1e8,2.3118042945861816,135,53d402c80f3f1c23fd70489dd83e75727eeb3b221364fc309c125ce1af888533
WBCIC,4,4,073d358c6445aab2fe65aa7828312103ff79443b9bcbcc83a84c8f2a19a0ff9e,b28b9cc0c3e91e87b4b6ee6de9fa110cdd82b62f73ff2eddc57f05ac9aecd81d,10797,85,64,128,6c49f9ae6497aea2009719fb0a08cd6dcb639fbb9777530d990da86b639bae89,2.3118042945861816,136,53d402c80f3f1c23fd70489dd83e75727eeb3b221364fc309c125ce1af888533
