model,task,fold,status,protected_rank,max_numeric_abs_delta,seconds,reason
CBraMod,WBCIC_MI,4,PROTOCOL_INVALID,,,27.781,"exit=1; stderr=t call last):
  File ""D:\nips-temp\TotalP\P1\CRCICLR_PERSIST_INCREMENTAL_VALUE_V1\experiments\persist_eeg_crossbackbone_peeh_v1\code\run_crossbackbone_peeh.py"", line 654, in <module>
    if __name__==""__main__"":raise SystemExit(main())
  File ""D:\nips-temp\TotalP\P1\CRCICLR_PERSIST_INCREMENTAL_VALUE_V1\experiments\persist_eeg_crossbackbone_peeh_v1\code\run_crossbackbone_peeh.py"", line 650, in main
    for m,t,f in jobs:evaluate(m,t,f,device)
  File ""D:\nips-temp\TotalP\P1\CRCICLR_PERSIST_INCREMENTAL_VALUE_V1\experiments\persist_eeg_crossbackbone_peeh_v1\code\run_crossbackbone_peeh.py"", line 571, in evaluate
    spec=spectrum(h,y,sub,sess,task,model,fold);spec[""classes""]=data[""classes""]
  File ""D:\nips-temp\TotalP\P1\CRCICLR_PERSIST_INCREMENTAL_VALUE_V1\experiments\persist_eeg_crossbackbone_peeh_v1\code\run_crossbackbone_peeh.py"", line 292, in spectrum
    if r < 4: raise RuntimeError(f""active rank below 4: {model}/{task}/f{fold}"")
RuntimeError: active rank below 4: CBraMod/WBCIC_MI/f4
"
TeCh,OpenBMI_MI,0,PASS,4,0.015624999999996891,25.438,"random mean quantization drift, pp"
TeCh,OpenBMI_MI,1,PASS,8,0.0,25.531,
TeCh,OpenBMI_MI,2,PASS,8,0.015625000000007994,23.969,"random mean quantization drift, pp"
TeCh,OpenBMI_MI,3,PASS,4,0.015624999999996891,24.422,"random mean quantization drift, pp"
TeCh,OpenBMI_MI,4,PASS,4,0.031249999999993783,24.046,"random mean quantization drift, pp"
TeCh,OpenBMI_ERP,0,PASS,8,0.015624999999996891,48.844,"random mean quantization drift, pp"
TeCh,OpenBMI_ERP,1,PASS,8,0.015624999999996891,48.484,"random mean quantization drift, pp"
TeCh,OpenBMI_ERP,2,PASS,4,0.0,48.406,
TeCh,OpenBMI_ERP,3,PASS,7,0.015624999999996891,48.563,"random mean quantization drift, pp"
TeCh,OpenBMI_ERP,4,PASS,8,0.0,49.156,
TeCh,OpenBMI_SSVEP,0,PASS,4,0.0,51.516,
TeCh,OpenBMI_SSVEP,1,PASS,12,0.0,50.812,
TeCh,OpenBMI_SSVEP,2,PASS,4,0.0,50.641,
TeCh,OpenBMI_SSVEP,3,PASS,8,0.0,55.594,
TeCh,OpenBMI_SSVEP,4,PASS,8,0.0,50.531,
TeCh,WBCIC_MI,0,FAIL,4,0.015625,26.25,intact or Protected BA changed
TeCh,WBCIC_MI,1,PASS,4,0.015625000000007994,32.328,"random mean quantization drift, pp"
TeCh,WBCIC_MI,2,PASS,8,0.0,31.906,
TeCh,WBCIC_MI,3,FAIL,4,0.015625,25.672,intact or Protected BA changed
TeCh,WBCIC_MI,4,PASS,4,0.0,31.234,
ModernTCN,OpenBMI_MI,0,PASS,0,0.0,313.516,
ModernTCN,OpenBMI_MI,1,PASS,0,0.0,312.719,
ModernTCN,OpenBMI_MI,2,PASS,1,0.0,313.421,
ModernTCN,OpenBMI_MI,3,PASS,0,0.0,312.454,
