model,task,fold,seed,subject_id,persistent_block,nonpersistent_block,block_rank,score_U_persistent,score_U_nonpersistent,Delta_future,Delta_worst
EEGNet,OpenBMI_SSVEP,3,2,13,6,7,4,0.048157923750324384,0.015943333603901502,-0.010000000000000009,-0.010000000000000009
EEGNet,OpenBMI_SSVEP,3,2,17,6,7,4,0.048157923750324384,0.015943333603901502,-0.01000000000000012,0.02999999999999997
EEGNet,OpenBMI_SSVEP,3,2,18,6,7,4,0.048157923750324384,0.015943333603901502,-0.17999999999999994,-0.06999999999999995
EEGNet,OpenBMI_SSVEP,3,2,24,6,7,4,0.048157923750324384,0.015943333603901502,0.03999999999999998,0.03999999999999998
EEGNet,OpenBMI_SSVEP,3,2,25,6,7,4,0.048157923750324384,0.015943333603901502,0.12999999999999995,0.12999999999999995
EEGNet,OpenBMI_SSVEP,3,2,29,6,7,4,0.048157923750324384,0.015943333603901502,0.03999999999999998,0.03999999999999998
EEGNet,OpenBMI_SSVEP,3,2,36,6,7,4,0.048157923750324384,0.015943333603901502,-0.22999999999999998,-0.2699999999999999
EEGNet,OpenBMI_SSVEP,3,2,37,6,7,4,0.048157923750324384,0.015943333603901502,-0.17999999999999983,-0.050000000000000044
EEGNet,OpenBMI_SSVEP,3,2,39,6,7,4,0.048157923750324384,0.015943333603901502,0.09999999999999998,0.10999999999999999
EEGNet,OpenBMI_SSVEP,3,2,4,6,7,4,0.048157923750324384,0.015943333603901502,-0.07999999999999985,-0.17000000000000004
EEGNet,OpenBMI_SSVEP,3,2,42,6,7,4,0.048157923750324384,0.015943333603901502,0.040000000000000036,0.040000000000000036
EEGNet,OpenBMI_SSVEP,3,2,51,6,7,4,0.048157923750324384,0.015943333603901502,0.06999999999999995,0.12999999999999995
EEGNet,OpenBMI_SSVEP,3,2,54,6,7,4,0.048157923750324384,0.015943333603901502,0.010000000000000009,0.019999999999999962
EEGNet,OpenBMI_SSVEP,4,1,12,4,7,4,0.0477532064066522,0.02867655334722561,-0.029999999999999916,-0.029999999999999916
EEGNet,OpenBMI_SSVEP,4,1,13,4,7,4,0.0477532064066522,0.02867655334722561,0.14,0.14
EEGNet,OpenBMI_SSVEP,4,1,17,4,7,4,0.0477532064066522,0.02867655334722561,0.09999999999999998,0.09000000000000008
EEGNet,OpenBMI_SSVEP,4,1,18,4,7,4,0.0477532064066522,0.02867655334722561,-0.14000000000000012,-0.07000000000000006
EEGNet,OpenBMI_SSVEP,4,1,24,4,7,4,0.0477532064066522,0.02867655334722561,-0.020000000000000018,0.06
EEGNet,OpenBMI_SSVEP,4,1,25,4,7,4,0.0477532064066522,0.02867655334722561,-0.04000000000000015,-0.04000000000000015
EEGNet,OpenBMI_SSVEP,4,1,29,4,7,4,0.0477532064066522,0.02867655334722561,-0.10000000000000009,-0.10000000000000009
EEGNet,OpenBMI_SSVEP,4,1,36,4,7,4,0.0477532064066522,0.02867655334722561,-0.10999999999999999,-0.040000000000000036
EEGNet,OpenBMI_SSVEP,4,1,37,4,7,4,0.0477532064066522,0.02867655334722561,-0.14,1.1102230246251565e-16
EEGNet,OpenBMI_SSVEP,4,1,39,4,7,4,0.0477532064066522,0.02867655334722561,-0.06000000000000005,-0.07999999999999996
EEGNet,OpenBMI_SSVEP,4,1,4,4,7,4,0.0477532064066522,0.02867655334722561,0.0,0.040000000000000036
EEGNet,OpenBMI_SSVEP,4,1,42,4,7,4,0.0477532064066522,0.02867655334722561,-0.010000000000000009,-0.010000000000000009
EEGNet,OpenBMI_SSVEP,4,1,51,4,7,4,0.0477532064066522,0.02867655334722561,-0.020000000000000018,-0.010000000000000009
EEGNet,OpenBMI_SSVEP,4,1,54,4,7,4,0.0477532064066522,0.02867655334722561,0.11000000000000004,0.030000000000000027
EEGNet,OpenBMI_SSVEP,4,1,12,5,7,4,0.02079095570917691,0.02867655334722561,-0.09999999999999998,-0.09999999999999998
EEGNet,OpenBMI_SSVEP,4,1,13,5,7,4,0.02079095570917691,0.02867655334722561,0.07000000000000006,0.06
EEGNet,OpenBMI_SSVEP,4,1,17,5,7,4,0.02079095570917691,0.02867655334722561,0.09000000000000008,0.010000000000000064
EEGNet,OpenBMI_SSVEP,4,1,18,5,7,4,0.02079095570917691,0.02867655334722561,0.019999999999999907,-0.020000000000000018
EEGNet,OpenBMI_SSVEP,4,1,24,5,7,4,0.02079095570917691,0.02867655334722561,0.0,0.08000000000000002
EEGNet,OpenBMI_SSVEP,4,1,25,5,7,4,0.02079095570917691,0.02867655334722561,-0.01000000000000012,-0.01000000000000012
EEGNet,OpenBMI_SSVEP,4,1,29,5,7,4,0.02079095570917691,0.02867655334722561,-0.16000000000000003,-0.16000000000000003
EEGNet,OpenBMI_SSVEP,4,1,36,5,7,4,0.02079095570917691,0.02867655334722561,-0.2699999999999999,-0.16999999999999993
EEGNet,OpenBMI_SSVEP,4,1,37,5,7,4,0.02079095570917691,0.02867655334722561,-0.039999999999999925,-0.04999999999999993
EEGNet,OpenBMI_SSVEP,4,1,39,5,7,4,0.02079095570917691,0.02867655334722561,-0.07999999999999996,-0.12
EEGNet,OpenBMI_SSVEP,4,1,4,5,7,4,0.02079095570917691,0.02867655334722561,-0.010000000000000009,-0.009999999999999898
EEGNet,OpenBMI_SSVEP,4,1,42,5,7,4,0.02079095570917691,0.02867655334722561,-0.040000000000000036,-0.040000000000000036
EEGNet,OpenBMI_SSVEP,4,1,51,5,7,4,0.02079095570917691,0.02867655334722561,-0.030000000000000027,0.0
EEGNet,OpenBMI_SSVEP,4,1,54,5,7,4,0.02079095570917691,0.02867655334722561,0.020000000000000018,0.020000000000000018
CBraMod,OpenBMI_MI,1,2,12,4,5,4,0.008710742292818674,0.010370305107427516,0.03125,-0.015625
CBraMod,OpenBMI_MI,1,2,13,4,5,4,0.008710742292818674,0.010370305107427516,0.03125,-0.078125
CBraMod,OpenBMI_MI,1,2,17,4,5,4,0.008710742292818674,0.010370305107427516,0.078125,0.125
CBraMod,OpenBMI_MI,1,2,18,4,5,4,0.008710742292818674,0.010370305107427516,-0.015625,-0.015625
CBraMod,OpenBMI_MI,1,2,24,4,5,4,0.008710742292818674,0.010370305107427516,-0.015625,-0.078125
CBraMod,OpenBMI_MI,1,2,25,4,5,4,0.008710742292818674,0.010370305107427516,0.109375,-0.046875
