model,task,fold,seed,status,block_id,block_rank,score_U,persistence_margin,persistence_pass,subject_id,future_BA,worst_BA
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,2,2,0.011621454592610197,0.0776825424283743,True,42,0.484375,0.484375
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,2,2,0.011621454592610197,0.0776825424283743,True,51,0.546875,0.546875
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,2,2,0.011621454592610197,0.0776825424283743,True,54,0.546875,0.546875
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,3,4,0.08129772584183007,0.03842990538105369,True,4,0.625,0.578125
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,3,4,0.08129772584183007,0.03842990538105369,True,12,0.609375,0.609375
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,3,4,0.08129772584183007,0.03842990538105369,True,13,0.671875,0.671875
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,3,4,0.08129772584183007,0.03842990538105369,True,17,0.609375,0.609375
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,3,4,0.08129772584183007,0.03842990538105369,True,18,0.5625,0.5625
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,3,4,0.08129772584183007,0.03842990538105369,True,24,0.546875,0.515625
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,3,4,0.08129772584183007,0.03842990538105369,True,25,0.921875,0.765625
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,3,4,0.08129772584183007,0.03842990538105369,True,29,0.75,0.578125
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,3,4,0.08129772584183007,0.03842990538105369,True,36,0.828125,0.8125
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,3,4,0.08129772584183007,0.03842990538105369,True,37,0.671875,0.609375
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,3,4,0.08129772584183007,0.03842990538105369,True,39,0.578125,0.578125
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,3,4,0.08129772584183007,0.03842990538105369,True,42,0.640625,0.578125
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,3,4,0.08129772584183007,0.03842990538105369,True,51,0.625,0.59375
EEGNet,OpenBMI_MI,1,1,ESTIMABLE,3,4,0.08129772584183007,0.03842990538105369,True,54,0.6875,0.625
EEGNet,OpenBMI_MI,1,2,ESTIMABLE,3,4,0.08324242216652436,0.04717945163138211,True,4,0.625,0.625
EEGNet,OpenBMI_MI,1,2,ESTIMABLE,3,4,0.08324242216652436,0.04717945163138211,True,12,0.5625,0.5625
EEGNet,OpenBMI_MI,1,2,ESTIMABLE,3,4,0.08324242216652436,0.04717945163138211,True,13,0.578125,0.578125
EEGNet,OpenBMI_MI,1,2,ESTIMABLE,3,4,0.08324242216652436,0.04717945163138211,True,17,0.59375,0.59375
EEGNet,OpenBMI_MI,1,2,ESTIMABLE,3,4,0.08324242216652436,0.04717945163138211,True,18,0.53125,0.53125
EEGNet,OpenBMI_MI,1,2,ESTIMABLE,3,4,0.08324242216652436,0.04717945163138211,True,24,0.59375,0.59375
EEGNet,OpenBMI_MI,1,2,ESTIMABLE,3,4,0.08324242216652436,0.04717945163138211,True,25,0.921875,0.71875
EEGNet,OpenBMI_MI,1,2,ESTIMABLE,3,4,0.08324242216652436,0.04717945163138211,True,29,0.625,0.609375
EEGNet,OpenBMI_MI,1,2,ESTIMABLE,3,4,0.08324242216652436,0.04717945163138211,True,36,0.828125,0.78125
EEGNet,OpenBMI_MI,1,2,ESTIMABLE,3,4,0.08324242216652436,0.04717945163138211,True,37,0.65625,0.53125
EEGNet,OpenBMI_MI,1,2,ESTIMABLE,3,4,0.08324242216652436,0.04717945163138211,True,39,0.53125,0.53125
EEGNet,OpenBMI_MI,1,2,ESTIMABLE,3,4,0.08324242216652436,0.04717945163138211,True,42,0.765625,0.6875
EEGNet,OpenBMI_MI,1,2,ESTIMABLE,3,4,0.08324242216652436,0.04717945163138211,True,51,0.6875,0.6875
EEGNet,OpenBMI_MI,1,2,ESTIMABLE,3,4,0.08324242216652436,0.04717945163138211,True,54,0.671875,0.609375
EEGNet,OpenBMI_MI,2,0,ESTIMABLE,2,4,0.0846705670312154,0.04628015286289156,True,4,0.796875,0.703125
EEGNet,OpenBMI_MI,2,0,ESTIMABLE,2,4,0.0846705670312154,0.04628015286289156,True,12,0.6875,0.6875
EEGNet,OpenBMI_MI,2,0,ESTIMABLE,2,4,0.0846705670312154,0.04628015286289156,True,13,0.703125,0.5
EEGNet,OpenBMI_MI,2,0,ESTIMABLE,2,4,0.0846705670312154,0.04628015286289156,True,17,0.484375,0.484375
