model,task,fold,status,rank,protected_rank,sessions,max_BA_abs_delta,reason
CBraMod,OpenBMI_ERP,1,EMPTY,15,0,,,k=0
CBraMod,OpenBMI_ERP,2,PASS,15,5,S1;S2,0.0,
CBraMod,OpenBMI_ERP,3,PASS,20,4,S1;S2,0.0,
CBraMod,OpenBMI_ERP,4,PASS,17,4,S1;S2,0.0,
CBraMod,OpenBMI_SSVEP,0,EMPTY,5,0,,,k=0
CBraMod,OpenBMI_SSVEP,1,EMPTY,6,0,,,k=0
CBraMod,OpenBMI_SSVEP,2,EMPTY,7,0,,,k=0
CBraMod,OpenBMI_SSVEP,3,EMPTY,5,0,,,k=0
CBraMod,OpenBMI_SSVEP,4,PASS,4,3,S1;S2,0.0,
CBraMod,WBCIC_MI,0,EMPTY,4,0,,,k=0
CBraMod,WBCIC_MI,1,PASS,8,4,S0;S1;S2,0.0,
CBraMod,WBCIC_MI,2,PASS,5,4,S0;S1;S2,0.0,
CBraMod,WBCIC_MI,3,PASS,5,4,S0;S1;S2,0.0,
CBraMod,WBCIC_MI,4,PROTOCOL_INVALID,,,,,NO_PROTECTED_ASSIGNMENT
TeCh,OpenBMI_MI,0,PASS,18,4,S1;S2,0.0,
TeCh,OpenBMI_MI,1,PASS,20,8,S1;S2,0.0,
TeCh,OpenBMI_MI,2,PASS,18,8,S1;S2,0.0,
TeCh,OpenBMI_MI,3,PASS,18,4,S1;S2,0.0,
TeCh,OpenBMI_MI,4,PASS,17,4,S1;S2,0.0,
TeCh,OpenBMI_ERP,0,PASS,20,8,S1;S2,0.0,
TeCh,OpenBMI_ERP,1,PASS,20,8,S1;S2,0.0,
TeCh,OpenBMI_ERP,2,PASS,20,4,S1;S2,0.0,
TeCh,OpenBMI_ERP,3,PASS,20,7,S1;S2,0.0,
TeCh,OpenBMI_ERP,4,PASS,20,8,S1;S2,0.0,
TeCh,OpenBMI_SSVEP,0,PASS,20,4,S1;S2,0.0,
TeCh,OpenBMI_SSVEP,1,PASS,20,12,S1;S2,0.0,
TeCh,OpenBMI_SSVEP,2,PASS,20,4,S1;S2,0.0,
TeCh,OpenBMI_SSVEP,3,PASS,20,8,S1;S2,0.0,
TeCh,OpenBMI_SSVEP,4,PASS,20,8,S1;S2,0.0,
TeCh,WBCIC_MI,0,PASS,7,4,S0;S1;S2,0.0,
TeCh,WBCIC_MI,1,PASS,20,4,S0;S1;S2,0.0,
TeCh,WBCIC_MI,2,PASS,20,8,S0;S1;S2,0.0,
TeCh,WBCIC_MI,3,PASS,7,4,S0;S1;S2,0.0,
TeCh,WBCIC_MI,4,PASS,20,4,S0;S1;S2,0.0,
ModernTCN,OpenBMI_MI,0,EMPTY,20,0,,,k=0
ModernTCN,OpenBMI_MI,1,EMPTY,20,0,,,k=0
ModernTCN,OpenBMI_MI,2,PASS,20,1,S1;S2,0.0,
ModernTCN,OpenBMI_MI,3,EMPTY,20,0,,,k=0
ModernTCN,OpenBMI_MI,4,EMPTY,20,0,,,k=0
ModernTCN,OpenBMI_ERP,0,PASS,20,2,S1;S2,0.0,
ModernTCN,OpenBMI_ERP,1,PASS,20,3,S1;S2,0.0,
ModernTCN,OpenBMI_ERP,2,PASS,20,1,S1;S2,0.0,
ModernTCN,OpenBMI_ERP,3,PASS,20,4,S1;S2,0.0,
ModernTCN,OpenBMI_ERP,4,PASS,20,10,S1;S2,0.0,
ModernTCN,OpenBMI_SSVEP,0,PASS,20,4,S1;S2,0.0,
ModernTCN,OpenBMI_SSVEP,1,PASS,20,3,S1;S2,0.0,
ModernTCN,OpenBMI_SSVEP,2,PASS,20,5,S1;S2,0.0,
ModernTCN,OpenBMI_SSVEP,3,PASS,20,7,S1;S2,0.0,
ModernTCN,OpenBMI_SSVEP,4,PASS,20,4,S1;S2,0.0,
ModernTCN,WBCIC_MI,0,EMPTY,20,0,,,k=0
ModernTCN,WBCIC_MI,1,PASS,20,4,S0;S1;S2,0.0,
ModernTCN,WBCIC_MI,2,PASS,20,1,S0;S1;S2,0.0,
ModernTCN,WBCIC_MI,3,EMPTY,20,0,,,k=0
ModernTCN,WBCIC_MI,4,PASS,20,1,S0;S1;S2,0.0,
Medformer,OpenBMI_MI,0,PASS,20,4,S1;S2,0.0,
Medformer,OpenBMI_MI,1,PASS,20,3,S1;S2,0.0,
Medformer,OpenBMI_MI,2,PASS,20,4,S1;S2,0.0,
Medformer,OpenBMI_MI,3,PASS,20,4,S1;S2,0.0,
Medformer,OpenBMI_MI,4,PASS,20,2,S1;S2,0.0,
Medformer,OpenBMI_ERP,0,PASS,20,5,S1;S2,0.0,
Medformer,OpenBMI_ERP,1,PASS,20,8,S1;S2,0.0,
Medformer,OpenBMI_ERP,2,PASS,20,4,S1;S2,0.0,
Medformer,OpenBMI_ERP,3,PASS,20,5,S1;S2,0.0,
Medformer,OpenBMI_ERP,4,PASS,20,6,S1;S2,0.0,
Medformer,OpenBMI_SSVEP,0,PASS,20,8,S1;S2,0.0,
Medformer,OpenBMI_SSVEP,1,PASS,20,6,S1;S2,0.0,
Medformer,OpenBMI_SSVEP,2,PASS,20,6,S1;S2,0.0,
Medformer,OpenBMI_SSVEP,3,PASS,20,8,S1;S2,0.0,
Medformer,OpenBMI_SSVEP,4,PASS,20,8,S1;S2,0.0,
Medformer,WBCIC_MI,0,PASS,20,4,S0;S1;S2,0.0,
Medformer,WBCIC_MI,1,PASS,20,2,S0;S1;S2,0.0,
Medformer,WBCIC_MI,2,PASS,20,4,S0;S1;S2,0.0,
Medformer,WBCIC_MI,3,PASS,20,4,S0;S1;S2,0.0,
Medformer,WBCIC_MI,4,PASS,20,4,S0;S1;S2,0.0,
