dataset,requested_budget,strategy,calibration_scheme,seed,raw_gain,calibrated_gain,violation,cp_upper,sentinel_rate,oracle_recovery
hmc,20,random,S1_ORIGINAL_3TRAIN_1CAL,1,-0.05929649418822648,0.005883315229482645,0.043333333333333335,,0.2966666666666667,0.015542993465408099
hmc,20,random,S1_ORIGINAL_3TRAIN_1CAL,2,-0.0686636053220299,-0.004124193689253781,0.026666666666666665,,0.31166666666666665,-0.01024929459551646
hmc,20,random,S1_ORIGINAL_3TRAIN_1CAL,3,-0.029027379997708772,0.020789265102915313,0.03222222222222222,,0.3511111111111111,0.05090057309196762
hmc,20,random,S1_ORIGINAL_3TRAIN_1CAL,4,-0.04097905832095098,0.016803361209176214,0.05,,0.2861111111111111,0.044920515304840855
hmc,20,temporal,S1_ORIGINAL_3TRAIN_1CAL,0,-0.03766871456697581,-0.022176058166709946,0.011111111111111112,0.051625875005761206,0.37777777777777777,-0.05526434996440821
hmc,20,temporal,S1_ORIGINAL_3TRAIN_1CAL,1,-0.05450881139857519,0.023622253340487624,0.06666666666666667,0.127339593186046,0.26666666666666666,0.062407080869895916
hmc,20,temporal,S1_ORIGINAL_3TRAIN_1CAL,2,-0.06424113976215709,0.011578435164506115,0.03333333333333333,0.08390002415112975,0.2777777777777778,0.0287743015720443
hmc,20,temporal,S1_ORIGINAL_3TRAIN_1CAL,3,-0.019796082025432465,0.037364079954425,0.044444444444444446,0.09882084611586947,0.36666666666666664,0.09148245853421876
hmc,20,temporal,S1_ORIGINAL_3TRAIN_1CAL,4,-0.026119056463595847,0.042337275326523205,0.06666666666666667,0.127339593186046,0.25555555555555554,0.11318046434851256
hmc,50,random,S1_ORIGINAL_3TRAIN_1CAL,0,-0.06245819199658419,0.05184432614905222,0.041666666666666664,,0.30944444444444447,0.12919983174788074
hmc,50,random,S1_ORIGINAL_3TRAIN_1CAL,1,-0.07372164416947881,0.01512347698629776,0.022777777777777775,,0.31611111111111106,0.039954361580748825
hmc,50,random,S1_ORIGINAL_3TRAIN_1CAL,2,-0.08428588249146356,0.0843110955844739,0.03444444444444444,,0.2594444444444445,0.20952683637716657
hmc,50,random,S1_ORIGINAL_3TRAIN_1CAL,3,-0.03990606025890707,0.06410843880811432,0.02722222222222222,,0.3327777777777778,0.15696352224142632
hmc,50,random,S1_ORIGINAL_3TRAIN_1CAL,4,-0.041661636329866275,0.05862987771319649,0.042777777777777776,,0.2755555555555555,0.15673556536405062
hmc,50,temporal,S1_ORIGINAL_3TRAIN_1CAL,0,-0.05417842825628009,0.06512594131394442,0.05555555555555555,0.1132624892332057,0.3,0.1622985827994564
hmc,50,temporal,S1_ORIGINAL_3TRAIN_1CAL,1,-0.054954068241469825,0.03376477208778841,0.044444444444444446,0.09882084611586947,0.2777777777777778,0.08920236489990664
hmc,50,temporal,S1_ORIGINAL_3TRAIN_1CAL,2,-0.07302484398916755,0.1172815630887472,0.044444444444444446,0.09882084611586947,0.2,0.29146383057889674
hmc,50,temporal,S1_ORIGINAL_3TRAIN_1CAL,3,-0.028594340703402436,0.07376216778540112,0.044444444444444446,0.09882084611586947,0.3111111111111111,0.18059977561478516
hmc,50,temporal,S1_ORIGINAL_3TRAIN_1CAL,4,-0.02532968053491828,0.09883619474609719,0.06666666666666667,0.127339593186046,0.2,0.2642193275200058
