fold,seed,task,metric,subject,session,representation,value
0,0,erp,alignment,31,1,protected,0.9300743961379883
0,0,erp,alignment,31,2,protected,0.924742979708149
0,0,erp,alignment,34,1,protected,0.6068328650816983
0,0,erp,alignment,34,2,protected,0.7198224642561943
0,0,erp,alignment,35,1,protected,0.9072987020764703
0,0,erp,alignment,35,2,protected,0.47559901532005605
0,0,erp,alignment,37,1,protected,0.4692604111122814
0,0,erp,alignment,37,2,protected,0.6124463452056488
0,0,erp,alignment,38,1,protected,0.7446427663757277
0,0,erp,alignment,38,2,protected,0.6461057408168337
0,0,erp,alignment,39,1,protected,0.9117943113609734
0,0,erp,alignment,39,2,protected,0.9243069830295811
0,0,erp,alignment,4,1,protected,0.9911985578728794
0,0,erp,alignment,4,2,protected,0.9495278808107508
0,0,erp,alignment,41,1,protected,0.9980187872127533
0,0,erp,alignment,41,2,protected,0.9998194981246112
0,0,erp,alignment,42,1,protected,0.7692295227567711
0,0,erp,alignment,42,2,protected,0.9346619319093651
0,0,erp,alignment,43,1,protected,0.9043857706813362
0,0,erp,alignment,43,2,protected,0.8640908479390949
0,0,erp,alignment,44,1,protected,0.9797696821532167
0,0,erp,alignment,44,2,protected,0.9704495674417097
0,0,erp,alignment,46,1,protected,0.9577316576463535
0,0,erp,alignment,46,2,protected,0.8945123015572154
0,0,erp,alignment,49,1,protected,0.9717171889128641
0,0,erp,alignment,49,2,protected,0.6187078697011247
0,0,erp,alignment,5,1,protected,0.8475991704524807
0,0,erp,alignment,5,2,protected,0.7436815251305672
0,0,erp,alignment,51,1,protected,0.7575591262402375
0,0,erp,alignment,51,2,protected,0.9742163328054095
0,0,erp,alignment,52,1,protected,0.7208632285922709
0,0,erp,alignment,52,2,protected,0.7950619413332316
0,0,erp,alignment,7,1,protected,0.8803194397323352
0,0,erp,alignment,7,2,protected,0.6713922453095003
0,0,erp,alignment,8,1,protected,0.8987185959861036
0,0,erp,alignment,8,2,protected,0.7008466363885213
0,0,erp,alignment,9,1,protected,0.9106920741573908
0,0,erp,alignment,9,2,protected,0.6384166028894159
0,0,erp,cross_session,11,1->2,protected,0.9818993169004792
0,0,erp,cross_session,11,2->1,protected,0.9891071785011006
0,0,erp,cross_session,12,1->2,protected,0.9577517666777372
0,0,erp,cross_session,12,2->1,protected,0.9287442001927806
0,0,erp,cross_session,15,1->2,protected,0.8213952187779432
0,0,erp,cross_session,15,2->1,protected,0.9755903930790351
0,0,erp,cross_session,16,1->2,protected,0.9356737237600168
0,0,erp,cross_session,16,2->1,protected,0.8533023336343067
0,0,erp,cross_session,18,1->2,protected,0.935870169609608
0,0,erp,cross_session,18,2->1,protected,0.8490653637234212
0,0,erp,cross_session,20,1->2,protected,0.7331775831504936
0,0,erp,cross_session,20,2->1,protected,0.9297937916267889
0,0,erp,cross_session,21,1->2,protected,0.3178050279259259
0,0,erp,cross_session,21,2->1,protected,0.6542366547580445
0,0,erp,cross_session,22,1->2,protected,0.7071757455818488
0,0,erp,cross_session,22,2->1,protected,0.8001431428554059
0,0,erp,cross_session,23,1->2,protected,-0.36074206377964896
0,0,erp,cross_session,23,2->1,protected,0.14541765579246918
0,0,erp,cross_session,24,1->2,protected,0.8981755935146956
0,0,erp,cross_session,24,2->1,protected,0.9205683940782963
0,0,erp,cross_session,25,1->2,protected,0.9297139843626758
0,0,erp,cross_session,25,2->1,protected,0.9499001652505646
0,0,erp,cross_session,26,1->2,protected,0.9205071016311623
0,0,erp,cross_session,26,2->1,protected,0.8421809048209322
0,0,erp,cross_session,27,1->2,protected,0.8093796787391804
0,0,erp,cross_session,27,2->1,protected,0.9734813073181048
0,0,erp,cross_session,29,1->2,protected,0.9324032738703385
0,0,erp,cross_session,29,2->1,protected,0.8493756506780675
0,0,erp,cross_session,30,1->2,protected,0.9661014864108719
0,0,erp,cross_session,30,2->1,protected,0.9397283627546946
0,0,erp,cross_session,31,1->2,protected,0.9354933263789704
0,0,erp,cross_session,31,2->1,protected,0.9081433874941139
0,0,erp,cross_session,34,1->2,protected,0.6691880979512568
0,0,erp,cross_session,34,2->1,protected,0.6788423656457446
0,0,erp,cross_session,35,1->2,protected,0.4747850395933861
0,0,erp,cross_session,35,2->1,protected,0.8816603623428725
0,0,erp,cross_session,37,1->2,protected,0.6685388192804065
0,0,erp,cross_session,37,2->1,protected,0.5539300442901809
0,0,erp,cross_session,38,1->2,protected,0.611201293083541
0,0,erp,cross_session,38,2->1,protected,0.7527817053037232
0,0,erp,cross_session,39,1->2,protected,0.9160807579705222
0,0,erp,cross_session,39,2->1,protected,0.9415817838343322
0,0,erp,cross_session,4,1->2,protected,0.9655432970442414
0,0,erp,cross_session,4,2->1,protected,0.9840424284753874
0,0,erp,cross_session,41,1->2,protected,0.9951130674429769
0,0,erp,cross_session,41,2->1,protected,0.9952818045385381
0,0,erp,cross_session,42,1->2,protected,0.9612898252249215
0,0,erp,cross_session,42,2->1,protected,0.7727346815391656
0,0,erp,cross_session,43,1->2,protected,0.9019543439488092
0,0,erp,cross_session,43,2->1,protected,0.8633981050176041
0,0,erp,cross_session,44,1->2,protected,0.973499332631825
0,0,erp,cross_session,44,2->1,protected,0.9815790747736605
0,0,erp,cross_session,46,1->2,protected,0.9048450927388714
0,0,erp,cross_session,46,2->1,protected,0.9358611267637686
0,0,erp,cross_session,49,1->2,protected,0.6920500961502941
0,0,erp,cross_session,49,2->1,protected,0.9666001843127352
0,0,erp,cross_session,5,1->2,protected,0.7655215952569446
0,0,erp,cross_session,5,2->1,protected,0.8676261180377867
0,0,erp,cross_session,51,1->2,protected,0.9751145969268264
0,0,erp,cross_session,51,2->1,protected,0.7284062221547886
0,0,erp,cross_session,52,1->2,protected,0.852159689791484
0,0,erp,cross_session,52,2->1,protected,0.7250804395104693
0,0,erp,cross_session,7,1->2,protected,0.6595640443957131
0,0,erp,cross_session,7,2->1,protected,0.9002714469400703
0,0,erp,cross_session,8,1->2,protected,0.6584747449176501
0,0,erp,cross_session,8,2->1,protected,0.9235461623542266
0,0,erp,cross_session,9,1->2,protected,0.6241314441152479
0,0,erp,cross_session,9,2->1,protected,0.9145270042661732
0,0,erp,margin,11,both,protected,0.7297810051111392
0,0,erp,margin,12,both,protected,0.711861594569713
0,0,erp,margin,15,both,protected,0.6611634275511822
0,0,erp,margin,16,both,protected,0.5748853797328857
0,0,erp,margin,18,both,protected,0.6107581958712105
0,0,erp,margin,20,both,protected,0.6296338476871057
0,0,erp,margin,21,both,protected,0.2797481678511653
0,0,erp,margin,22,both,protected,0.5996429507339767
0,0,erp,margin,23,both,protected,-0.0026618642258414704
0,0,erp,margin,24,both,protected,0.6546216973617421
0,0,erp,margin,25,both,protected,0.5968167305249568
0,0,erp,margin,26,both,protected,0.5826197017029727
0,0,erp,margin,27,both,protected,0.6941183277718505
0,0,erp,margin,29,both,protected,0.5021890999501875
0,0,erp,margin,30,both,protected,0.7401255222500226
0,0,erp,margin,31,both,protected,0.6652927044923861
0,0,erp,margin,34,both,protected,0.4298723286062627
0,0,erp,margin,35,both,protected,0.4186116697837693
0,0,erp,margin,37,both,protected,0.5027330430721904
0,0,erp,margin,38,both,protected,0.42606642028380204
0,0,erp,margin,39,both,protected,0.6790226514635236
0,0,erp,margin,4,both,protected,0.6245345554422924
0,0,erp,margin,41,both,protected,0.755667728033248
0,0,erp,margin,42,both,protected,0.6336901099898045
0,0,erp,margin,43,both,protected,0.628832222294962
0,0,erp,margin,44,both,protected,0.7311907300459133
0,0,erp,margin,46,both,protected,0.6657628096948883
0,0,erp,margin,49,both,protected,0.6332853770813285
0,0,erp,margin,5,both,protected,0.49906769141323604
0,0,erp,margin,51,both,protected,0.5566954070465251
0,0,erp,margin,52,both,protected,0.5470219594499148
0,0,erp,margin,7,both,protected,0.45614140601303194
0,0,erp,margin,8,both,protected,0.5313427237853234
0,0,erp,margin,9,both,protected,0.32713205014145585
0,0,ssvep,alignment,11,1,protected,0.9887308678497417
0,0,ssvep,alignment,11,2,protected,0.9883241086444282
0,0,ssvep,alignment,12,1,protected,0.9824342584166066
0,0,ssvep,alignment,12,2,protected,0.9906254849272088
0,0,ssvep,alignment,15,1,protected,0.9353529522312504
0,0,ssvep,alignment,15,2,protected,0.9048836485797339
0,0,ssvep,alignment,16,1,protected,0.9670042113574677
0,0,ssvep,alignment,16,2,protected,0.9618809364472508
0,0,ssvep,alignment,18,1,protected,0.9753257207736873
0,0,ssvep,alignment,18,2,protected,0.9804195337440775
0,0,ssvep,alignment,20,1,protected,0.9813950396495805
0,0,ssvep,alignment,20,2,protected,0.9842226223705367
0,0,ssvep,alignment,21,1,protected,0.9368439943687937
0,0,ssvep,alignment,21,2,protected,0.924749892051785
0,0,ssvep,alignment,22,1,protected,0.9317042595851532
0,0,ssvep,alignment,22,2,protected,0.9496369824845633
0,0,ssvep,alignment,23,1,protected,0.7855443006944056
0,0,ssvep,alignment,23,2,protected,0.7147925699579862
0,0,ssvep,alignment,24,1,protected,0.9313951504613165
0,0,ssvep,alignment,24,2,protected,0.9390474031605616
0,0,ssvep,alignment,25,1,protected,0.9866033055041249
0,0,ssvep,alignment,25,2,protected,0.9840926542326676
0,0,ssvep,alignment,26,1,protected,0.9693896292466238
0,0,ssvep,alignment,26,2,protected,0.9709272861448404
0,0,ssvep,alignment,27,1,protected,0.9931736819092273
0,0,ssvep,alignment,27,2,protected,0.9917187841976344
0,0,ssvep,alignment,29,1,protected,0.9449505775460735
0,0,ssvep,alignment,29,2,protected,0.9833337499846866
0,0,ssvep,alignment,30,1,protected,0.9442282907620364
0,0,ssvep,alignment,30,2,protected,0.9754574934657477
0,0,ssvep,alignment,31,1,protected,0.9725670707427926
0,0,ssvep,alignment,31,2,protected,0.9701788409763946
0,0,ssvep,alignment,34,1,protected,0.933785070975307
0,0,ssvep,alignment,34,2,protected,0.9514240633888714
0,0,ssvep,alignment,35,1,protected,0.969514445262218
0,0,ssvep,alignment,35,2,protected,0.9314957033781882
0,0,ssvep,alignment,37,1,protected,0.9855310744010074
0,0,ssvep,alignment,37,2,protected,0.9814204624189755
0,0,ssvep,alignment,38,1,protected,0.9697777200822503
0,0,ssvep,alignment,38,2,protected,0.969031231464514
0,0,ssvep,alignment,39,1,protected,0.9839014339646555
0,0,ssvep,alignment,39,2,protected,0.9900849835962325
0,0,ssvep,alignment,4,1,protected,0.97748497220407
0,0,ssvep,alignment,4,2,protected,0.9924589679946103
0,0,ssvep,alignment,41,1,protected,0.9739900567581489
0,0,ssvep,alignment,41,2,protected,0.982269423765378
0,0,ssvep,alignment,42,1,protected,0.9884094638605594
0,0,ssvep,alignment,42,2,protected,0.9431730352789206
0,0,ssvep,alignment,43,1,protected,0.9929152307753201
0,0,ssvep,alignment,43,2,protected,0.9878391522465899
0,0,ssvep,alignment,44,1,protected,0.9715457441418512
0,0,ssvep,alignment,44,2,protected,0.9809208613234058
0,0,ssvep,alignment,46,1,protected,0.9734200086267616
0,0,ssvep,alignment,46,2,protected,0.9730401672566268
0,0,ssvep,alignment,49,1,protected,0.9741446891996132
0,0,ssvep,alignment,49,2,protected,0.956177789685843
0,0,ssvep,alignment,5,1,protected,0.9019469951034663
0,0,ssvep,alignment,5,2,protected,0.9560230806766792
0,0,ssvep,alignment,51,1,protected,0.9185828704434118
0,0,ssvep,alignment,51,2,protected,0.9234812490906867
0,0,ssvep,alignment,52,1,protected,0.9511586652756202
0,0,ssvep,alignment,52,2,protected,0.9429066924403944
