observation_id,task,dataset,fold,seed,space,round,K,subject_A,subject_B,different_subjects,global_subjects,m_per_class,B_blocks_disjoint,A_B_disjoint,controls_exclude_A_B,gradient_mode,c_same,c_different,c_global,g_B_norm,g_different_norm,g_global_norm,future_harm,harm_label,loss_B_future_before,loss_B_future_after,checkpoint_sha256,normalizer_sha256
OpenBMI_MI:f0:C:r0:B=20:A=21,OpenBMI_MI,OpenBMI,0,0,C,0,1,21,20,16,40,8,True,True,True,eval_dropout_disabled,1.3685526937479153e-05,5.631457952404162e-06,1.0142024621018209e-05,0.04561848193407059,0.018771551549434662,0.03380679339170456,3.3080577850341797e-06,1,0.19912554323673248,0.19912885129451752,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=20:A=21,OpenBMI_MI,OpenBMI,0,0,C,0,2,21,20,16;22,40;41,8,True,True,True,eval_dropout_disabled,6.164194473967655e-06,7.712715159868822e-06,9.854428753897082e-06,0.02054734155535698,0.025709085166454315,0.032848138362169266,3.3080577850341797e-06,1,0.19912554323673248,0.19912885129451752,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=20:A=21,OpenBMI_MI,OpenBMI,0,0,C,0,4,21,20,16;22;23;27,40;41;43;44,8,True,True,True,eval_dropout_disabled,4.0557792999607045e-06,6.008921445754822e-06,6.249193575058598e-06,0.013519281521439552,0.020029764622449875,0.0208306722342968,3.3080577850341797e-06,1,0.19912554323673248,0.19912885129451752,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=21:A=22,OpenBMI_MI,OpenBMI,0,0,C,0,1,22,21,31,7,8,True,True,True,eval_dropout_disabled,2.318482074770145e-06,-5.984081781207351e-06,1.2122953876314568e-06,0.007728276774287224,0.019946947693824768,0.0040409862995147705,-7.0035457611083984e-06,0,0.13538822531700134,0.13538122177124023,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=21:A=22,OpenBMI_MI,OpenBMI,0,0,C,0,2,22,21,31;34,7;10,8,True,True,True,eval_dropout_disabled,2.2144391209621972e-07,-5.143482212588424e-06,2.0735562884510728e-06,0.0007381467148661613,0.01714494824409485,0.006911857053637505,-7.0035457611083984e-06,0,0.13538822531700134,0.13538122177124023,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=21:A=22,OpenBMI_MI,OpenBMI,0,0,C,0,4,22,21,31;34;35;40,7;10;16;20,8,True,True,True,eval_dropout_disabled,-2.5144122446363326e-06,-2.168992068618536e-06,2.05303535949497e-06,0.008381377905607224,0.0072299763560295105,0.0068434542044997215,-7.0035457611083984e-06,0,0.13538822531700134,0.13538122177124023,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=22:A=23,OpenBMI_MI,OpenBMI,0,0,C,0,1,23,22,27,50,8,True,True,True,eval_dropout_disabled,-9.793954632186797e-06,-7.6057458500145e-06,1.427239112672396e-06,0.03264661878347397,0.025352565571665764,0.004757478833198547,-6.735324859619141e-06,0,0.6307278275489807,0.6307210922241211,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=22:A=23,OpenBMI_MI,OpenBMI,0,0,C,0,2,23,22,27;28,50;52,8,True,True,True,eval_dropout_disabled,1.104468765333877e-06,-2.0790555481653428e-06,-3.604422147418518e-07,0.0036815740168094635,0.006930206902325153,0.0012014778330922127,-6.735324859619141e-06,0,0.6307278275489807,0.6307210922241211,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=22:A=23,OpenBMI_MI,OpenBMI,0,0,C,0,4,23,22,27;28;30;31,50;52;53;1,8,True,True,True,eval_dropout_disabled,-6.930451490916312e-06,-8.933688150136732e-06,-4.133954462304246e-06,0.023101577535271645,0.02977905422449112,0.013779891654849052,-6.735324859619141e-06,0,0.6307278275489807,0.6307210922241211,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=23:A=27,OpenBMI_MI,OpenBMI,0,0,C,0,1,27,23,50,28,8,True,True,True,eval_dropout_disabled,-1.004496994028159e-06,1.2056441846652888e-05,4.1796679397521075e-06,0.0033483244478702545,0.040188152343034744,0.013932231813669205,-2.0563602447509766e-06,0,0.2504866421222687,0.2504845857620239,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=23:A=27,OpenBMI_MI,OpenBMI,0,0,C,0,2,27,23,50;52,28;30,8,True,True,True,eval_dropout_disabled,-1.2201700201330823e-06,5.977380624244688e-06,4.798974714503856e-06,0.004067234694957733,0.01992460899055004,0.01599658839404583,-2.0563602447509766e-06,0,0.2504866421222687,0.2504845857620239,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=23:A=27,OpenBMI_MI,OpenBMI,0,0,C,0,4,27,23,50;52;53;1,28;30;31;34,8,True,True,True,eval_dropout_disabled,-4.676445314544253e-06,3.611497731981217e-06,8.045185495575424e-07,0.015588156878948212,0.012038329616189003,0.002681729383766651,-2.0563602447509766e-06,0,0.2504866421222687,0.2504845857620239,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=27:A=28,OpenBMI_MI,OpenBMI,0,0,C,0,1,28,27,41,7,8,True,True,True,eval_dropout_disabled,7.605761766171781e-06,-3.395985459064832e-06,-1.2122947055104305e-06,0.025352565571665764,0.0113199632614851,0.0040409862995147705,9.551644325256348e-06,1,0.21192826330661774,0.211937814950943,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=27:A=28,OpenBMI_MI,OpenBMI,0,0,C,0,2,28,27,41;43,7;10,8,True,True,True,eval_dropout_disabled,7.0452929321618285e-06,1.3331294894669554e-06,-2.07355492420902e-06,0.023484334349632263,0.004443769343197346,0.006911857053637505,9.551644325256348e-06,1,0.21192826330661774,0.211937814950943,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=27:A=28,OpenBMI_MI,OpenBMI,0,0,C,0,4,28,27,41;43;44;45,7;10;16;20,8,True,True,True,eval_dropout_disabled,8.864270057529211e-06,2.7143978513777256e-06,-2.053034222626593e-06,0.029547596350312233,0.00904800184071064,0.0068434542044997215,9.551644325256348e-06,1,0.21192826330661774,0.211937814950943,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=28:A=30,OpenBMI_MI,OpenBMI,0,0,C,0,1,30,28,48,16,8,True,True,True,eval_dropout_disabled,3.4476449854992097e-06,-4.9153450163430534e-06,2.7078904167865403e-06,0.011492151767015457,0.016384486109018326,0.009026302956044674,-7.003545761108398e-07,0,0.08142150938510895,0.08142080903053284,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=28:A=30,OpenBMI_MI,OpenBMI,0,0,C,0,2,30,28,48;49,16;20,8,True,True,True,eval_dropout_disabled,3.8136570310598472e-06,-5.772431450168369e-06,2.0325148852862185e-06,0.012712191790342331,0.019241441041231155,0.006775050889700651,-7.003545761108398e-07,0,0.08142150938510895,0.08142080903053284,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=28:A=30,OpenBMI_MI,OpenBMI,0,0,C,0,4,30,28,48;49;50;52,16;20;21;22,8,True,True,True,eval_dropout_disabled,1.0478653393874993e-06,1.0247517678863005e-07,3.5480909446050646e-06,0.0034928848035633564,0.0003415839746594429,0.011826971545815468,-7.003545761108398e-07,0,0.08142150938510895,0.08142080903053284,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=30:A=31,OpenBMI_MI,OpenBMI,0,0,C,0,1,31,30,22,22,8,True,True,True,eval_dropout_disabled,-2.5592644306016155e-05,-9.793980098038446e-06,1.2002923540421762e-05,0.08530885726213455,0.03264661878347397,0.040009766817092896,1.6987323760986328e-06,1,0.44708895683288574,0.44709065556526184,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=30:A=31,OpenBMI_MI,OpenBMI,0,0,C,0,2,31,30,22;23,22;23,8,True,True,True,eval_dropout_disabled,-1.00871811810066e-05,-5.399238489189884e-06,5.283540303935297e-06,0.03362395614385605,0.01799747161567211,0.017611810937523842,1.6987323760986328e-06,1,0.44708895683288574,0.44709065556526184,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=30:A=31,OpenBMI_MI,OpenBMI,0,0,C,0,4,31,30,22;23;27;28,22;23;27;28,8,True,True,True,eval_dropout_disabled,-9.952942718882696e-07,-3.739149633474881e-06,2.065479975499329e-06,0.0033176494762301445,0.012463838793337345,0.006884937174618244,1.6987323760986328e-06,1,0.44708895683288574,0.44709065556526184,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=31:A=34,OpenBMI_MI,OpenBMI,0,0,C,0,1,34,31,52,40,8,True,True,True,eval_dropout_disabled,-5.984079507470597e-06,-1.0168022157586165e-07,-1.014203007798642e-05,0.019946947693824768,0.00033893436193466187,0.03380679339170456,-5.8710575103759766e-06,0,0.17946076393127441,0.17945489287376404,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=31:A=34,OpenBMI_MI,OpenBMI,0,0,C,0,2,34,31,52;53,40;41,8,True,True,True,eval_dropout_disabled,-5.864270860911347e-06,1.9870215055561857e-06,-9.854433301370591e-06,0.019547585397958755,0.006623410619795322,0.032848138362169266,-5.8710575103759766e-06,0,0.17946076393127441,0.17945489287376404,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=31:A=34,OpenBMI_MI,OpenBMI,0,0,C,0,4,34,31,52;53;1;2,40;41;43;44,8,True,True,True,eval_dropout_disabled,-3.7012634948041523e-06,1.752927005327365e-06,-6.249196303542703e-06,0.012337555177509785,0.005843095015734434,0.0208306722342968,-5.8710575103759766e-06,0,0.17946076393127441,0.17945489287376404,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=34:A=35,OpenBMI_MI,OpenBMI,0,0,C,0,1,35,34,7,52,8,True,True,True,eval_dropout_disabled,-4.302793058741372e-06,1.3018611753068399e-05,-2.14808460441418e-06,0.01434294879436493,0.043396297842264175,0.007160434499382973,4.708766937255859e-06,1,0.4863707423210144,0.48637545108795166,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=34:A=35,OpenBMI_MI,OpenBMI,0,0,C,0,2,35,34,7;10,52;53,8,True,True,True,eval_dropout_disabled,-2.4690950795047684e-06,-1.387412908115948e-06,4.517679826676613e-06,0.00823049247264862,0.004624808207154274,0.015059254132211208,4.708766937255859e-06,1,0.4863707423210144,0.48637545108795166,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=34:A=35,OpenBMI_MI,OpenBMI,0,0,C,0,4,35,34,7;10;16;20,52;53;1;2,8,True,True,True,eval_dropout_disabled,-5.821390232085832e-07,-5.5228556448128074e-06,-1.8192200741395936e-06,0.0019405046477913857,0.018409911543130875,0.006064196117222309,4.708766937255859e-06,1,0.4863707423210144,0.48637545108795166,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=35:A=40,OpenBMI_MI,OpenBMI,0,0,C,0,1,40,35,53,41,8,True,True,True,eval_dropout_disabled,1.414815358202759e-07,-4.075719971297076e-06,9.566828339302447e-06,0.00047160591930150986,0.013585755601525307,0.03188948333263397,3.8370490074157715e-07,1,0.03782838210463524,0.03782876580953598,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=35:A=40,OpenBMI_MI,OpenBMI,0,0,C,0,2,40,35,53;1,41;43,8,True,True,True,eval_dropout_disabled,-1.1131518249385408e-06,-1.245612679667829e-06,3.759190803975798e-06,0.003710512537509203,0.00415204931050539,0.012530657462775707,3.8370490074157715e-07,1,0.03782838210463524,0.03782876580953598,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=35:A=40,OpenBMI_MI,OpenBMI,0,0,C,0,4,40,35,53;1;2;7,41;43;44;45,8,True,True,True,eval_dropout_disabled,-4.964716708855121e-07,-5.033062279835576e-06,6.472113454947248e-06,0.0016549082938581705,0.016776902601122856,0.0215737484395504,3.8370490074157715e-07,1,0.03782838210463524,0.03782876580953598,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=40:A=41,OpenBMI_MI,OpenBMI,0,0,C,0,1,41,40,35,43,8,True,True,True,eval_dropout_disabled,-1.752477714944689e-06,1.4148164950711362e-07,-2.048448550340254e-06,0.00584159791469574,0.00047160591930150986,0.006828168407082558,-1.3262033462524414e-06,0,0.1916712522506714,0.19166992604732513,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=40:A=41,OpenBMI_MI,OpenBMI,0,0,C,0,2,41,40,35;43,43;44,8,True,True,True,eval_dropout_disabled,4.194775556243258e-06,3.101863512711134e-06,2.643959305714816e-06,0.01398259773850441,0.010339554399251938,0.008813206106424332,-1.3262033462524414e-06,0,0.1916712522506714,0.19166992604732513,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=40:A=41,OpenBMI_MI,OpenBMI,0,0,C,0,4,41,40,35;43;44;45,43;44;45;46,8,True,True,True,eval_dropout_disabled,3.8578282328671776e-06,3.5987650335300714e-06,1.573177883074095e-06,0.012859439477324486,0.011995894834399223,0.0052439309656620026,-1.3262033462524414e-06,0,0.1916712522506714,0.19166992604732513,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=41:A=43,OpenBMI_MI,OpenBMI,0,0,C,0,1,43,41,10,21,8,True,True,True,eval_dropout_disabled,3.39598705068056e-06,-1.579376657900866e-05,-1.8755939663606114e-06,0.0113199632614851,0.05264591425657272,0.006251983344554901,-1.817941665649414e-06,0,0.4273463487625122,0.42734453082084656,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
OpenBMI_MI:f0:C:r0:B=41:A=43,OpenBMI_MI,OpenBMI,0,0,C,0,2,43,41,10;16,21;22,8,True,True,True,eval_dropout_disabled,-3.085426442339667e-06,-1.071261431206949e-05,5.063664957560832e-06,0.010284760035574436,0.03570873290300369,0.016878891736268997,-1.817941665649414e-06,0,0.4273463487625122,0.42734453082084656,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81
