task,dataset,fold,seed,space,gradient_mode,probe_subject,probe_block,loss,checkpoint_sha256,normalizer_sha256,parameter_tensors_total,parameter_tensors_nonzero_gradient,scalar_parameters_total,scalar_elements_abs_grad_gt_1e12,fraction_scalar_active,parameter_names
WBCIC_MI,WBCIC,1,0,CM,eval_dropout_disabled,sub-5,B1,0.3051128685474396,838161c589c8ba47b6ac391b90d97ce785fc98b277f84d3d22730e126122838f,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17,32,4,52069,4,7.68211411780522e-05,lambda_channel;channel_mlp.0.weight;channel_mlp.0.bias;channel_mlp.2.weight;channel_mlp.2.bias;mixers.0.gamma;mixers.0.depthwise.weight;mixers.0.depthwise.bias;mixers.0.norm.weight;mixers.0.norm.bias;mixers.0.expand.weight;mixers.0.expand.bias;mixers.0.contract.weight;mixers.0.contract.bias;mixers.1.gamma;mixers.1.depthwise.weight;mixers.1.depthwise.bias;mixers.1.norm.weight;mixers.1.norm.bias;mixers.1.expand.weight;mixers.1.expand.bias;mixers.1.contract.weight;mixers.1.contract.bias;mixers.2.gamma;mixers.2.depthwise.weight;mixers.2.depthwise.bias;mixers.2.norm.weight;mixers.2.norm.bias;mixers.2.expand.weight;mixers.2.expand.bias;mixers.2.contract.weight;mixers.2.contract.bias
WBCIC_MI,WBCIC,2,0,C,eval_dropout_disabled,sub-5,B1,0.07348467409610748,8cb100fba157c5220ae7a9313f7665d683cd96cb315fefd0ce8e3314fc73eb01,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354,5,1,34,1,0.029411764705882353,lambda_channel;channel_mlp.0.weight;channel_mlp.0.bias;channel_mlp.2.weight;channel_mlp.2.bias
WBCIC_MI,WBCIC,2,0,M,eval_dropout_disabled,sub-5,B1,0.07348467409610748,8cb100fba157c5220ae7a9313f7665d683cd96cb315fefd0ce8e3314fc73eb01,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354,27,3,52035,3,5.7653502450273856e-05,mixers.0.gamma;mixers.0.depthwise.weight;mixers.0.depthwise.bias;mixers.0.norm.weight;mixers.0.norm.bias;mixers.0.expand.weight;mixers.0.expand.bias;mixers.0.contract.weight;mixers.0.contract.bias;mixers.1.gamma;mixers.1.depthwise.weight;mixers.1.depthwise.bias;mixers.1.norm.weight;mixers.1.norm.bias;mixers.1.expand.weight;mixers.1.expand.bias;mixers.1.contract.weight;mixers.1.contract.bias;mixers.2.gamma;mixers.2.depthwise.weight;mixers.2.depthwise.bias;mixers.2.norm.weight;mixers.2.norm.bias;mixers.2.expand.weight;mixers.2.expand.bias;mixers.2.contract.weight;mixers.2.contract.bias
WBCIC_MI,WBCIC,2,0,CM,eval_dropout_disabled,sub-5,B1,0.07348467409610748,8cb100fba157c5220ae7a9313f7665d683cd96cb315fefd0ce8e3314fc73eb01,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354,32,4,52069,4,7.68211411780522e-05,lambda_channel;channel_mlp.0.weight;channel_mlp.0.bias;channel_mlp.2.weight;channel_mlp.2.bias;mixers.0.gamma;mixers.0.depthwise.weight;mixers.0.depthwise.bias;mixers.0.norm.weight;mixers.0.norm.bias;mixers.0.expand.weight;mixers.0.expand.bias;mixers.0.contract.weight;mixers.0.contract.bias;mixers.1.gamma;mixers.1.depthwise.weight;mixers.1.depthwise.bias;mixers.1.norm.weight;mixers.1.norm.bias;mixers.1.expand.weight;mixers.1.expand.bias;mixers.1.contract.weight;mixers.1.contract.bias;mixers.2.gamma;mixers.2.depthwise.weight;mixers.2.depthwise.bias;mixers.2.norm.weight;mixers.2.norm.bias;mixers.2.expand.weight;mixers.2.expand.bias;mixers.2.contract.weight;mixers.2.contract.bias
WBCIC_MI,WBCIC,3,0,C,eval_dropout_disabled,sub-5,B1,0.3178067207336426,9d4e6a2babb8d1b0febca64f5944319c3612f2c442c3580084d43f33c600f614,23765060e5268b3e9d17ac8856fddf0ebee518e507202d3f625e821bc4aa0035,5,1,34,1,0.029411764705882353,lambda_channel;channel_mlp.0.weight;channel_mlp.0.bias;channel_mlp.2.weight;channel_mlp.2.bias
WBCIC_MI,WBCIC,3,0,M,eval_dropout_disabled,sub-5,B1,0.3178067207336426,9d4e6a2babb8d1b0febca64f5944319c3612f2c442c3580084d43f33c600f614,23765060e5268b3e9d17ac8856fddf0ebee518e507202d3f625e821bc4aa0035,27,3,52035,3,5.7653502450273856e-05,mixers.0.gamma;mixers.0.depthwise.weight;mixers.0.depthwise.bias;mixers.0.norm.weight;mixers.0.norm.bias;mixers.0.expand.weight;mixers.0.expand.bias;mixers.0.contract.weight;mixers.0.contract.bias;mixers.1.gamma;mixers.1.depthwise.weight;mixers.1.depthwise.bias;mixers.1.norm.weight;mixers.1.norm.bias;mixers.1.expand.weight;mixers.1.expand.bias;mixers.1.contract.weight;mixers.1.contract.bias;mixers.2.gamma;mixers.2.depthwise.weight;mixers.2.depthwise.bias;mixers.2.norm.weight;mixers.2.norm.bias;mixers.2.expand.weight;mixers.2.expand.bias;mixers.2.contract.weight;mixers.2.contract.bias
WBCIC_MI,WBCIC,3,0,CM,eval_dropout_disabled,sub-5,B1,0.3178067207336426,9d4e6a2babb8d1b0febca64f5944319c3612f2c442c3580084d43f33c600f614,23765060e5268b3e9d17ac8856fddf0ebee518e507202d3f625e821bc4aa0035,32,4,52069,4,7.68211411780522e-05,lambda_channel;channel_mlp.0.weight;channel_mlp.0.bias;channel_mlp.2.weight;channel_mlp.2.bias;mixers.0.gamma;mixers.0.depthwise.weight;mixers.0.depthwise.bias;mixers.0.norm.weight;mixers.0.norm.bias;mixers.0.expand.weight;mixers.0.expand.bias;mixers.0.contract.weight;mixers.0.contract.bias;mixers.1.gamma;mixers.1.depthwise.weight;mixers.1.depthwise.bias;mixers.1.norm.weight;mixers.1.norm.bias;mixers.1.expand.weight;mixers.1.expand.bias;mixers.1.contract.weight;mixers.1.contract.bias;mixers.2.gamma;mixers.2.depthwise.weight;mixers.2.depthwise.bias;mixers.2.norm.weight;mixers.2.norm.bias;mixers.2.expand.weight;mixers.2.expand.bias;mixers.2.contract.weight;mixers.2.contract.bias
WBCIC_MI,WBCIC,4,0,C,eval_dropout_disabled,sub-1,B1,0.20319125056266785,e9cce7a3ca4470c9727670a3135261acc7fa07a811d48ba5a7b74c44442b0807,0e862b1cae5aa096f18b8e895fd881156c2b6b7c2f2d2f0b89e97815b1ab0a0e,5,1,34,1,0.029411764705882353,lambda_channel;channel_mlp.0.weight;channel_mlp.0.bias;channel_mlp.2.weight;channel_mlp.2.bias
WBCIC_MI,WBCIC,4,0,M,eval_dropout_disabled,sub-1,B1,0.20319125056266785,e9cce7a3ca4470c9727670a3135261acc7fa07a811d48ba5a7b74c44442b0807,0e862b1cae5aa096f18b8e895fd881156c2b6b7c2f2d2f0b89e97815b1ab0a0e,27,3,52035,3,5.7653502450273856e-05,mixers.0.gamma;mixers.0.depthwise.weight;mixers.0.depthwise.bias;mixers.0.norm.weight;mixers.0.norm.bias;mixers.0.expand.weight;mixers.0.expand.bias;mixers.0.contract.weight;mixers.0.contract.bias;mixers.1.gamma;mixers.1.depthwise.weight;mixers.1.depthwise.bias;mixers.1.norm.weight;mixers.1.norm.bias;mixers.1.expand.weight;mixers.1.expand.bias;mixers.1.contract.weight;mixers.1.contract.bias;mixers.2.gamma;mixers.2.depthwise.weight;mixers.2.depthwise.bias;mixers.2.norm.weight;mixers.2.norm.bias;mixers.2.expand.weight;mixers.2.expand.bias;mixers.2.contract.weight;mixers.2.contract.bias
WBCIC_MI,WBCIC,4,0,CM,eval_dropout_disabled,sub-1,B1,0.20319125056266785,e9cce7a3ca4470c9727670a3135261acc7fa07a811d48ba5a7b74c44442b0807,0e862b1cae5aa096f18b8e895fd881156c2b6b7c2f2d2f0b89e97815b1ab0a0e,32,4,52069,4,7.68211411780522e-05,lambda_channel;channel_mlp.0.weight;channel_mlp.0.bias;channel_mlp.2.weight;channel_mlp.2.bias;mixers.0.gamma;mixers.0.depthwise.weight;mixers.0.depthwise.bias;mixers.0.norm.weight;mixers.0.norm.bias;mixers.0.expand.weight;mixers.0.expand.bias;mixers.0.contract.weight;mixers.0.contract.bias;mixers.1.gamma;mixers.1.depthwise.weight;mixers.1.depthwise.bias;mixers.1.norm.weight;mixers.1.norm.bias;mixers.1.expand.weight;mixers.1.expand.bias;mixers.1.contract.weight;mixers.1.contract.bias;mixers.2.gamma;mixers.2.depthwise.weight;mixers.2.depthwise.bias;mixers.2.norm.weight;mixers.2.norm.bias;mixers.2.expand.weight;mixers.2.expand.bias;mixers.2.contract.weight;mixers.2.contract.bias
