task,model,subject_id,intact_probe_BA,protected_erased_BA,random_erased_BA,protected_harm_pp,random_harm_pp,PEEH_pp,repeated_runs,protected_rank_mean,protected_rank_min,protected_rank_max
OpenBMI_MI,LiteBN,18,0.7386666666666667,0.5933333333333334,0.6759133333333334,14.533333333333333,6.275333333333334,8.258,15,6.133333333333334,4,8
OpenBMI_MI,LiteBN,24,0.5646666666666668,0.524,0.5556466666666667,4.066666666666668,0.9019999999999985,3.1646666666666703,15,6.133333333333334,4,8
OpenBMI_MI,LiteBN,25,0.9813333333333333,0.7826666666666667,0.9431200000000001,19.866666666666667,3.8213333333333304,16.045333333333335,15,6.133333333333334,4,8
OpenBMI_MI,LiteBN,29,0.7966666666666666,0.6393333333333333,0.7383266666666667,15.733333333333333,5.833999999999999,9.899333333333335,15,6.133333333333334,4,8
OpenBMI_MI,LiteBN,36,0.9319999999999999,0.7613333333333333,0.8922399999999999,17.06666666666666,3.975999999999997,13.090666666666664,15,6.133333333333334,4,8
OpenBMI_MI,LiteBN,37,0.7393333333333333,0.6286666666666666,0.7128266666666666,11.066666666666666,2.650666666666667,8.416,15,6.133333333333334,4,8
OpenBMI_MI,LiteBN,39,0.754,0.6133333333333333,0.7094933333333333,14.066666666666666,4.450666666666666,9.615999999999998,15,6.133333333333334,4,8
OpenBMI_MI,LiteBN,4,0.802,0.6626666666666666,0.74656,13.933333333333334,5.544000000000002,8.389333333333331,15,6.133333333333334,4,8
OpenBMI_MI,LiteBN,42,0.7206666666666667,0.5806666666666668,0.6652133333333333,13.999999999999996,5.545333333333333,8.454666666666663,15,6.133333333333334,4,8
OpenBMI_MI,LiteBN,51,0.6699999999999999,0.5760000000000001,0.624,9.399999999999997,4.599999999999993,4.8000000000000025,15,6.133333333333334,4,8
OpenBMI_MI,LiteBN,54,0.73,0.5766666666666667,0.6758466666666666,15.33333333333333,5.415333333333335,9.917999999999996,15,6.133333333333334,4,8
OpenBMI_MI,TFFormer,12,0.7580000000000001,0.618,0.7027,14.0,5.530000000000003,8.469999999999997,15,5.933333333333334,4,8
OpenBMI_MI,TFFormer,13,0.6926666666666667,0.5686666666666668,0.6489866666666667,12.399999999999997,4.367999999999999,8.031999999999996,15,5.933333333333334,4,8
OpenBMI_MI,TFFormer,17,0.6,0.532,0.5758800000000001,6.800000000000001,2.4119999999999964,4.388000000000004,15,5.933333333333334,4,8
OpenBMI_MI,TFFormer,18,0.7353333333333333,0.5853333333333333,0.6770999999999999,14.999999999999998,5.8233333333333315,9.176666666666668,15,5.933333333333334,4,8
OpenBMI_MI,TFFormer,24,0.5619999999999999,0.508,0.5535866666666667,5.400000000000001,0.8413333333333347,4.558666666666666,15,5.933333333333334,4,8
OpenBMI_MI,TFFormer,25,0.982,0.7946666666666666,0.9459333333333333,18.733333333333334,3.6066666666666634,15.12666666666667,15,5.933333333333334,4,8
OpenBMI_MI,TFFormer,29,0.794,0.648,0.7370533333333333,14.6,5.694666666666666,8.905333333333335,15,5.933333333333334,4,8
OpenBMI_MI,TFFormer,36,0.9326666666666665,0.778,0.89258,15.46666666666666,4.008666666666661,11.457999999999997,15,5.933333333333334,4,8
OpenBMI_MI,TFFormer,37,0.7426666666666667,0.6426666666666667,0.7144066666666667,10.0,2.825999999999995,7.174000000000005,15,5.933333333333334,4,8
OpenBMI_MI,TFFormer,39,0.756,0.6213333333333334,0.7132666666666666,13.466666666666667,4.273333333333335,9.193333333333332,15,5.933333333333334,4,8
OpenBMI_MI,TFFormer,4,0.802,0.6533333333333334,0.7465933333333333,14.866666666666669,5.540666666666672,9.325999999999997,15,5.933333333333334,4,8
OpenBMI_MI,TFFormer,42,0.7206666666666666,0.5760000000000001,0.6668933333333332,14.466666666666663,5.377333333333335,9.089333333333327,15,5.933333333333334,4,8
OpenBMI_MI,TFFormer,51,0.6733333333333333,0.5760000000000001,0.6285066666666667,9.733333333333329,4.482666666666664,5.250666666666664,15,5.933333333333334,4,8
OpenBMI_MI,TFFormer,54,0.7306666666666666,0.5753333333333334,0.6773133333333334,15.53333333333333,5.335333333333332,10.197999999999999,15,5.933333333333334,4,8
OpenBMI_SSVEP,LiteBN,12,0.962,0.8666666666666667,0.9311066666666666,9.53333333333333,3.0893333333333275,6.444000000000003,15,4.533333333333333,0,8
OpenBMI_SSVEP,LiteBN,13,0.8086666666666666,0.6133333333333333,0.7281733333333335,19.533333333333335,8.049333333333328,11.484000000000004,15,4.533333333333333,0,8
OpenBMI_SSVEP,LiteBN,17,0.972,0.7899999999999999,0.9030199999999999,18.199999999999996,6.897999999999998,11.302,15,4.533333333333333,0,8
OpenBMI_SSVEP,LiteBN,18,1.0,0.9826666666666667,0.9978866666666666,1.7333333333333343,0.21133333333333595,1.5219999999999982,15,4.533333333333333,0,8
OpenBMI_SSVEP,LiteBN,24,0.906,0.5833333333333334,0.7627,32.26666666666666,14.329999999999995,17.936666666666664,15,4.533333333333333,0,8
OpenBMI_SSVEP,LiteBN,25,0.9513333333333333,0.808,0.8916,14.333333333333327,5.973333333333333,8.359999999999994,15,4.533333333333333,0,8
OpenBMI_SSVEP,LiteBN,29,0.9506666666666667,0.7966666666666666,0.8874066666666667,15.399999999999997,6.325999999999995,9.074000000000003,15,4.533333333333333,0,8
OpenBMI_SSVEP,LiteBN,36,1.0,0.9773333333333334,0.9957933333333333,2.266666666666667,0.4206666666666699,1.8459999999999972,15,4.533333333333333,0,8
OpenBMI_SSVEP,LiteBN,37,0.9933333333333334,0.968,0.98564,2.533333333333336,0.7693333333333359,1.7639999999999996,15,4.533333333333333,0,8
OpenBMI_SSVEP,LiteBN,39,0.998,0.8473333333333333,0.9538733333333334,15.066666666666666,4.412666666666668,10.653999999999998,15,4.533333333333333,0,8
OpenBMI_SSVEP,LiteBN,4,1.0,0.9873333333333334,0.99934,1.266666666666667,0.06599999999999717,1.2006666666666699,15,4.533333333333333,0,8
OpenBMI_SSVEP,LiteBN,42,0.6006666666666667,0.486,0.5592066666666666,11.466666666666669,4.146000000000004,7.320666666666666,15,4.533333333333333,0,8
