task,dataset,fold,subject_id,method,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256
OpenBMI_ERP,OpenBMI,3,10,LiteBN_BASELINE,0.7981818181818181,0.7699506499759268,0.8595959595959596,1980,039a9f8973a650797b3bfb4673ebe9b6c28618b10d2a5c67722707fe5e412e51,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,10,LiteBN_X,0.7815151515151515,0.7544814053252893,0.85,1980,c5dc7306a498b2cb8903e2e166a7d4b1c979f32f90b256bcfaa0b24376b0db41,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,16,LiteBN_BASELINE,0.8378787878787879,0.8143208700824169,0.8893939393939394,1980,039a9f8973a650797b3bfb4673ebe9b6c28618b10d2a5c67722707fe5e412e51,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,16,LiteBN_X,0.8154545454545454,0.7989606824198451,0.8823232323232323,1980,c5dc7306a498b2cb8903e2e166a7d4b1c979f32f90b256bcfaa0b24376b0db41,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,19,LiteBN_BASELINE,0.9566666666666667,0.9037905195973428,0.9398989898989899,1980,039a9f8973a650797b3bfb4673ebe9b6c28618b10d2a5c67722707fe5e412e51,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,19,LiteBN_X,0.9660606060606061,0.9265697486244471,0.9555555555555556,1980,c5dc7306a498b2cb8903e2e166a7d4b1c979f32f90b256bcfaa0b24376b0db41,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,22,LiteBN_BASELINE,0.8918181818181818,0.7889731962179611,0.847979797979798,1980,039a9f8973a650797b3bfb4673ebe9b6c28618b10d2a5c67722707fe5e412e51,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,22,LiteBN_X,0.9348484848484848,0.9029153120503117,0.9419191919191919,1980,c5dc7306a498b2cb8903e2e166a7d4b1c979f32f90b256bcfaa0b24376b0db41,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,27,LiteBN_BASELINE,0.9609090909090909,0.9139084447989148,0.946969696969697,1980,039a9f8973a650797b3bfb4673ebe9b6c28618b10d2a5c67722707fe5e412e51,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,27,LiteBN_X,0.9718181818181818,0.9382400332257854,0.9631313131313132,1980,c5dc7306a498b2cb8903e2e166a7d4b1c979f32f90b256bcfaa0b24376b0db41,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,34,LiteBN_BASELINE,0.8587878787878788,0.7597259301553988,0.8252525252525252,1980,039a9f8973a650797b3bfb4673ebe9b6c28618b10d2a5c67722707fe5e412e51,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,34,LiteBN_X,0.8903030303030304,0.7975721418430666,0.8575757575757575,1980,c5dc7306a498b2cb8903e2e166a7d4b1c979f32f90b256bcfaa0b24376b0db41,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,45,LiteBN_BASELINE,0.8309090909090909,0.7896319654301522,0.8676767676767677,1980,039a9f8973a650797b3bfb4673ebe9b6c28618b10d2a5c67722707fe5e412e51,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,45,LiteBN_X,0.8345454545454545,0.8204551217038539,0.895959595959596,1980,c5dc7306a498b2cb8903e2e166a7d4b1c979f32f90b256bcfaa0b24376b0db41,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,49,LiteBN_BASELINE,0.8693939393939394,0.7801412411498223,0.8449494949494949,1980,039a9f8973a650797b3bfb4673ebe9b6c28618b10d2a5c67722707fe5e412e51,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,3,49,LiteBN_X,0.8957575757575758,0.8038278627377844,0.8626262626262626,1980,c5dc7306a498b2cb8903e2e166a7d4b1c979f32f90b256bcfaa0b24376b0db41,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341
OpenBMI_ERP,OpenBMI,4,20,LiteBN_BASELINE,0.8845454545454545,0.8185645933014354,0.8803030303030303,1980,c3fb4b011f1ba42b8e0ded81ece46b36d9b6c05fbb97dd532871c1f0a79d2aaa,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97
OpenBMI_ERP,OpenBMI,4,20,LiteBN_X,0.8854545454545455,0.8355587808417997,0.895959595959596,1980,8018a3b66123c5367420465a92937afa834a2589de74754e436ef996ea237840,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97
OpenBMI_ERP,OpenBMI,4,21,LiteBN_BASELINE,0.8636363636363636,0.7883021102497847,0.8555555555555555,1980,c3fb4b011f1ba42b8e0ded81ece46b36d9b6c05fbb97dd532871c1f0a79d2aaa,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97
OpenBMI_ERP,OpenBMI,4,21,LiteBN_X,0.8381818181818181,0.7711947359834683,0.8454545454545455,1980,8018a3b66123c5367420465a92937afa834a2589de74754e436ef996ea237840,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97
OpenBMI_ERP,OpenBMI,4,41,LiteBN_BASELINE,0.8906060606060606,0.8419770091659493,0.9005050505050505,1980,c3fb4b011f1ba42b8e0ded81ece46b36d9b6c05fbb97dd532871c1f0a79d2aaa,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97
OpenBMI_ERP,OpenBMI,4,41,LiteBN_X,0.8736363636363637,0.8176780448940248,0.8823232323232323,1980,8018a3b66123c5367420465a92937afa834a2589de74754e436ef996ea237840,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97
