task,subject_id,original_BA,preciseBN_BA,delta_BA_pp,original_macro_F1,preciseBN_macro_F1,delta_macro_F1_pp,original_accuracy,preciseBN_accuracy,delta_accuracy_pp
OpenBMI_SSVEP,54,0.8979999999999999,0.8939999999999999,-0.40000000000000036,0.8983750300611337,0.894531179000896,-0.3843851060237591,0.898,0.8939999999999999,-0.4000000000000026
WBCIC_MI,sub-17,0.8300000000000001,0.758,-7.2,0.8298282527846368,0.7243458976761914,-10.548235510844531,0.8299999999999998,0.758,-7.2
WBCIC_MI,sub-19,0.943,0.849,-9.399999999999995,0.9429657326549069,0.8155064613049448,-12.745927134996222,0.943,0.849,-9.399999999999999
WBCIC_MI,sub-2,0.755,0.6990000000000001,-5.6,0.7547447311077385,0.6635628733148651,-9.118185779287344,0.755,0.6990000000000001,-5.6
WBCIC_MI,sub-21,0.877,0.791,-8.599999999999996,0.8768766964483664,0.7571908295812627,-11.968586686710372,0.877,0.791,-8.6
WBCIC_MI,sub-25,0.961,0.866,-9.499999999999998,0.9609836131362283,0.8326185692394314,-12.836504389679666,0.961,0.866,-9.499999999999996
WBCIC_MI,sub-3,0.807,0.735,-7.1999999999999975,0.8054390659397699,0.6988015394465678,-10.663752649320216,0.807,0.735,-7.2
WBCIC_MI,sub-31,0.607,0.5890000000000001,-1.7999999999999994,0.5790263567356305,0.5375586216177725,-4.1467735117858044,0.607,0.589,-1.8000000000000014
WBCIC_MI,sub-33,0.968,0.865,-10.299999999999999,0.9679977995849086,0.8316143988676373,-13.63834007172714,0.968,0.865,-10.299999999999999
WBCIC_MI,sub-38,0.489,0.493,0.4000000000000014,0.4692376829656917,0.4086889620428857,-6.054872092280603,0.489,0.493,0.40000000000000036
WBCIC_MI,sub-42,0.685,0.645,-4.000000000000002,0.6842639053746478,0.6082814522766203,-7.598245309802738,0.6849999999999999,0.645,-3.999999999999999
