method,fold,seed,subject_id,protected_representation_drift,adaptive_representation_drift,protected_decision_logit_drift,adaptive_decision_logit_drift,protected_D_finite_after,combined_BA,protected_branch_erasure_harm_BA,adaptive_branch_erasure_harm_BA,protected_parameter_update_l2,adaptive_parameter_update_l2,protected_buffer_update_l2,adaptation_seed,target_future_labels_used_for_fit,internal_holdout_used,outer_test_used,functional_distillation_RMSE_before,functional_distillation_correlation_before,functional_distillation_RMSE_after,functional_distillation_correlation_after
A8_RANDOM_PROTECTED,3,1,7,0.0,0.3077482581138611,0.0,0.33820923305266637,0.6078130049470889,0.8400000000000001,0.09000000000000008,0.14000000000000012,0.0,0.1581675384683095,0.0,3533371277,False,False,False,,,,
A10_FULL_PUD_FREEZE,3,1,7,0.0,0.23935556411743164,0.0,0.26839787023761486,1.6284192159353394,0.8300000000000001,0.2300000000000001,0.030000000000000027,0.0,0.16299770818974282,0.0,3533371277,False,False,False,0.8086913756660155,0.7576917251105265,0.8086913756660155,0.7576917251105265
A2_DUAL_CONTROL,3,1,20,0.0,0.2582354247570038,0.0,0.2047328629918066,1.303714144604668,0.87,0.030000000000000027,0.029999999999999916,0.0,0.19107734251512043,0.0,4021985235,False,False,False,,,,
A6_PUD_ALL_ADAPT,3,1,20,0.10305342078208923,0.20030367374420166,0.28140549992595865,0.1567613850999604,1.9781897309828411,0.8500000000000001,0.18000000000000005,0.040000000000000036,0.171204796934363,0.16716590048385513,69.29221441032405,4021985235,False,False,False,0.5918944689572195,0.9174174442119755,0.6168442311158656,0.9104240617925538
A7_IDENTITY_PROTECTED,3,1,20,0.0,0.21590453386306763,0.0,0.2850382338248056,0.4753422585765789,0.8300000000000001,0.030000000000000027,0.18000000000000016,0.0,0.16217498652765008,0.0,4021985235,False,False,False,,,,
A8_RANDOM_PROTECTED,3,1,20,0.0,0.2036743015050888,0.0,0.29384104774592873,0.68621867534491,0.8500000000000001,0.040000000000000036,0.15000000000000013,0.0,0.1735165762398752,0.0,4021985235,False,False,False,,,,
A10_FULL_PUD_FREEZE,3,1,20,0.0,0.20419766008853912,0.0,0.19088619613330174,1.9452082498764727,0.86,0.20999999999999996,0.019999999999999907,0.0,0.1705004768869982,0.0,4021985235,False,False,False,0.5918944689572195,0.9174174442119755,0.5918944689572195,0.9174174442119755
A2_DUAL_CONTROL,3,1,23,0.0,0.45154768228530884,0.0,0.7285343704882025,0.9910959664253126,0.6100000000000001,0.040000000000000036,-0.05999999999999983,0.0,0.18224855253516434,0.0,1004954032,False,False,False,,,,
A6_PUD_ALL_ADAPT,3,1,23,0.11948461085557938,0.32640552520751953,0.4132434682101125,0.24596578912264713,1.225292678653561,0.6599999999999999,0.09999999999999987,-0.020000000000000018,0.203546660157096,0.18808272189573588,69.30121309758177,1004954032,False,False,False,0.6770146069799454,0.812395624611449,0.7767622170782716,0.7430471472948068
A7_IDENTITY_PROTECTED,3,1,23,0.0,0.37192773818969727,0.0,0.4844263470072248,0.4277185208096453,0.6599999999999999,0.04999999999999993,0.1299999999999999,0.0,0.20609217476713607,0.0,1004954032,False,False,False,,,,
A8_RANDOM_PROTECTED,3,1,23,0.0,0.36494210362434387,0.0,0.5390711471747082,0.5935683612114013,0.62,-0.030000000000000027,0.10999999999999999,0.0,0.20288534650926973,0.0,1004954032,False,False,False,,,,
A10_FULL_PUD_FREEZE,3,1,23,0.0,0.3524399399757385,0.0,0.3872896734700561,1.308395656570673,0.69,0.21999999999999992,-0.020000000000000018,0.0,0.2220546360906499,0.0,1004954032,False,False,False,0.6770146069799454,0.812395624611449,0.6770146069799454,0.812395624611449
A2_DUAL_CONTROL,3,1,26,0.0,0.1622638702392578,0.0,0.16744993102013758,1.3514830530511301,0.86,0.08999999999999997,0.04999999999999993,0.0,0.17496064252209653,0.0,75087174,False,False,False,,,,
A6_PUD_ALL_ADAPT,3,1,26,0.09290969371795654,0.16464300453662872,0.2668645045858729,0.16198482035335493,1.966116416965173,0.8500000000000001,0.13000000000000012,0.0,0.16284716954271777,0.17082661978912433,69.28245819400618,75087174,False,False,False,0.6927324190037881,0.8875406387751703,0.7410411737855677,0.8652297642266534
A7_IDENTITY_PROTECTED,3,1,26,0.0,0.1494724303483963,0.0,0.261377126071945,0.6142214124057385,0.87,0.030000000000000027,0.29999999999999993,0.0,0.16559248823630787,0.0,75087174,False,False,False,,,,
A8_RANDOM_PROTECTED,3,1,26,0.0,0.14253200590610504,0.0,0.19695601893494125,0.7880537448747887,0.8400000000000001,-0.009999999999999898,0.10000000000000009,0.0,0.15907949623229217,0.0,75087174,False,False,False,,,,
A10_FULL_PUD_FREEZE,3,1,26,0.0,0.16575250029563904,0.0,0.18583116177542355,2.073925378643137,0.87,0.17000000000000004,0.029999999999999916,0.0,0.1928345381369708,0.0,75087174,False,False,False,0.6927324190037881,0.8875406387751703,0.6927324190037881,0.8875406387751703
A2_DUAL_CONTROL,3,1,35,0.0,0.27486881613731384,0.0,0.21070611543696716,1.5344989452166462,0.8200000000000001,0.09000000000000008,-0.020000000000000018,0.0,0.16718732355333799,0.0,3922851336,False,False,False,,,,
A6_PUD_ALL_ADAPT,3,1,35,0.14039677381515503,0.2889340817928314,0.29950834049547137,0.2773491531092052,2.4942088442427908,0.8200000000000001,0.050000000000000044,0.010000000000000009,0.1737446707460882,0.17013572306946206,69.30460020385948,3922851336,False,False,False,0.6773889855008313,0.9318623701325643,0.6772670346078545,0.9273277802424847
A7_IDENTITY_PROTECTED,3,1,35,0.0,0.21068324148654938,0.0,0.170233333698205,0.5189261865054761,0.8300000000000001,-0.019999999999999907,0.44000000000000006,0.0,0.1599868615642764,0.0,3922851336,False,False,False,,,,
A8_RANDOM_PROTECTED,3,1,35,0.0,0.19269819557666779,0.0,0.12482370929838074,0.6484066398593847,0.8200000000000001,0.020000000000000018,0.040000000000000036,0.0,0.15564449955544873,0.0,3922851336,False,False,False,,,,
A10_FULL_PUD_FREEZE,3,1,35,0.0,0.2833285331726074,0.0,0.21599982534566792,2.6324239360032675,0.8300000000000001,0.1100000000000001,1.1102230246251565e-16,0.0,0.18687931943980476,0.0,3922851336,False,False,False,0.6773889855008313,0.9318623701325643,0.6773889855008313,0.9318623701325643
