dataset,seed,outer_fold,alpha,action_count,observed_action_count,delta_effective,estimated_q,csr,full_set_fallback,positive_benefit_certification_rate,joint_validity,average_set_size,safe_oracle_headroom_captured
eegmmidb,1,0,0.2,3,3,0.1,2.2809134132940287,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,1,0,0.2,5,3,0.06000000000000001,2.2809134132940287,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,1,0,0.2,10,3,0.030000000000000006,2.2809134132940287,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,1,1,0.1,2,3,0.1,1.0620048147399272,1.0,0.0,0.0,1.0,3.9166666666666665,0.0
eegmmidb,1,1,0.1,3,3,0.1,1.0620048147399272,1.0,0.0,0.0,1.0,3.9166666666666665,0.0
eegmmidb,1,1,0.1,5,3,0.06000000000000001,1.0620048147399272,1.0,0.0,0.0,1.0,3.9166666666666665,0.0
eegmmidb,1,1,0.1,10,3,0.030000000000000006,1.0620048147399272,1.0,0.0,0.0,1.0,3.9166666666666665,0.0
eegmmidb,1,1,0.2,2,3,0.1,0.8395188118089878,1.0,0.0,0.0,1.0,3.6944444444444446,0.0
eegmmidb,1,1,0.2,3,3,0.1,0.8395188118089878,1.0,0.0,0.0,1.0,3.6944444444444446,0.0
eegmmidb,1,1,0.2,5,3,0.06000000000000001,0.8395188118089878,1.0,0.0,0.0,1.0,3.6944444444444446,0.0
eegmmidb,1,1,0.2,10,3,0.030000000000000006,0.8395188118089878,1.0,0.0,0.0,1.0,3.6944444444444446,0.0
eegmmidb,1,2,0.1,2,3,0.1,1.8357340663433075,0.2222222222222222,0.7777777777777778,0.0,1.0,3.992592592592593,0.0
eegmmidb,1,2,0.1,3,3,0.1,1.8357340663433075,0.2222222222222222,0.7777777777777778,0.0,1.0,3.992592592592593,0.0
eegmmidb,1,2,0.1,5,3,0.06000000000000001,1.8357340663433075,0.2222222222222222,0.7777777777777778,0.0,1.0,3.992592592592593,0.0
eegmmidb,1,2,0.1,10,3,0.030000000000000006,1.8357340663433075,0.2222222222222222,0.7777777777777778,0.0,1.0,3.992592592592593,0.0
eegmmidb,1,2,0.2,2,3,0.1,1.8357340663433075,0.8888888888888888,0.1111111111111111,0.0,1.0,3.912962962962963,0.0
eegmmidb,1,2,0.2,3,3,0.1,1.8357340663433075,0.8888888888888888,0.1111111111111111,0.0,1.0,3.912962962962963,0.0
eegmmidb,1,2,0.2,5,3,0.06000000000000001,1.8357340663433075,0.8888888888888888,0.1111111111111111,0.0,1.0,3.912962962962963,0.0
eegmmidb,1,2,0.2,10,3,0.030000000000000006,1.8357340663433075,0.8888888888888888,0.1111111111111111,0.0,1.0,3.912962962962963,0.0
eegmmidb,1,3,0.1,2,3,0.1,2.2723888920240762,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,1,3,0.1,3,3,0.1,2.2723888920240762,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,1,3,0.1,5,3,0.06000000000000001,2.2723888920240762,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,1,3,0.1,10,3,0.030000000000000006,2.2723888920240762,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,1,3,0.2,2,3,0.1,2.2723888920240762,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9962962962962965,0.0
eegmmidb,1,3,0.2,3,3,0.1,2.2723888920240762,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9962962962962965,0.0
eegmmidb,1,3,0.2,5,3,0.06000000000000001,2.2723888920240762,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9962962962962965,0.0
eegmmidb,1,3,0.2,10,3,0.030000000000000006,2.2723888920240762,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9962962962962965,0.0
eegmmidb,1,4,0.1,2,3,0.1,2.8195562855950675,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,1,4,0.1,3,3,0.1,2.8195562855950675,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,1,4,0.1,5,3,0.06000000000000001,2.8195562855950675,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,1,4,0.1,10,3,0.030000000000000006,2.8195562855950675,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,1,4,0.2,2,3,0.1,2.8195562855950675,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,1,4,0.2,3,3,0.1,2.8195562855950675,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,1,4,0.2,5,3,0.06000000000000001,2.8195562855950675,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,1,4,0.2,10,3,0.030000000000000006,2.8195562855950675,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,2,0,0.1,2,3,0.1,1.887588280318575,0.4444444444444444,0.5555555555555556,0.0,1.0,3.9962962962962965,0.0
eegmmidb,2,0,0.1,3,3,0.1,1.887588280318575,0.4444444444444444,0.5555555555555556,0.0,1.0,3.9962962962962965,0.0
eegmmidb,2,0,0.1,5,3,0.06000000000000001,1.887588280318575,0.4444444444444444,0.5555555555555556,0.0,1.0,3.9962962962962965,0.0
eegmmidb,2,0,0.1,10,3,0.030000000000000006,1.887588280318575,0.4444444444444444,0.5555555555555556,0.0,1.0,3.9962962962962965,0.0
eegmmidb,2,0,0.2,2,3,0.1,1.887588280318575,0.2222222222222222,0.7777777777777778,0.0,1.0,4.0,0.0
eegmmidb,2,0,0.2,3,3,0.1,1.887588280318575,0.2222222222222222,0.7777777777777778,0.0,1.0,4.0,0.0
eegmmidb,2,0,0.2,5,3,0.06000000000000001,1.887588280318575,0.2222222222222222,0.7777777777777778,0.0,1.0,4.0,0.0
eegmmidb,2,0,0.2,10,3,0.030000000000000006,1.887588280318575,0.2222222222222222,0.7777777777777778,0.0,1.0,4.0,0.0
eegmmidb,2,1,0.1,2,3,0.1,1.4115087413983292,0.7777777777777778,0.2222222222222222,0.0,1.0,3.9796296296296294,0.0
eegmmidb,2,1,0.1,3,3,0.1,1.4115087413983292,0.7777777777777778,0.2222222222222222,0.0,1.0,3.9796296296296294,0.0
eegmmidb,2,1,0.1,5,3,0.06000000000000001,1.4115087413983292,0.7777777777777778,0.2222222222222222,0.0,1.0,3.9796296296296294,0.0
eegmmidb,2,1,0.1,10,3,0.030000000000000006,1.4115087413983292,0.7777777777777778,0.2222222222222222,0.0,1.0,3.9796296296296294,0.0
eegmmidb,2,1,0.2,2,3,0.1,1.4115087413983292,1.0,0.0,0.0,1.0,3.837037037037037,0.0
eegmmidb,2,1,0.2,3,3,0.1,1.4115087413983292,1.0,0.0,0.0,1.0,3.837037037037037,0.0
eegmmidb,2,1,0.2,5,3,0.06000000000000001,1.4115087413983292,1.0,0.0,0.0,1.0,3.837037037037037,0.0
eegmmidb,2,1,0.2,10,3,0.030000000000000006,1.4115087413983292,1.0,0.0,0.0,1.0,3.837037037037037,0.0
eegmmidb,2,2,0.1,2,3,0.1,0.99306067812954,1.0,0.0,0.0,1.0,3.84074074074074,0.0
eegmmidb,2,2,0.1,3,3,0.1,0.99306067812954,1.0,0.0,0.0,1.0,3.84074074074074,0.0
eegmmidb,2,2,0.1,5,3,0.06000000000000001,0.99306067812954,1.0,0.0,0.0,1.0,3.84074074074074,0.0
eegmmidb,2,2,0.1,10,3,0.030000000000000006,0.99306067812954,1.0,0.0,0.0,1.0,3.84074074074074,0.0
eegmmidb,2,2,0.2,2,3,0.1,1.3381740504771127,1.0,0.0,0.0,1.0,3.7296296296296294,0.0
eegmmidb,2,2,0.2,3,3,0.1,1.3381740504771127,1.0,0.0,0.0,1.0,3.7296296296296294,0.0
eegmmidb,2,2,0.2,5,3,0.06000000000000001,1.3381740504771127,1.0,0.0,0.0,1.0,3.7296296296296294,0.0
eegmmidb,2,2,0.2,10,3,0.030000000000000006,1.3381740504771127,1.0,0.0,0.0,1.0,3.7296296296296294,0.0
eegmmidb,2,3,0.1,2,3,0.1,2.0352420293105102,0.2222222222222222,0.7777777777777778,0.0,1.0,4.0,0.0
eegmmidb,2,3,0.1,3,3,0.1,2.0352420293105102,0.2222222222222222,0.7777777777777778,0.0,1.0,4.0,0.0
eegmmidb,2,3,0.1,5,3,0.06000000000000001,2.0352420293105102,0.2222222222222222,0.7777777777777778,0.0,1.0,4.0,0.0
eegmmidb,2,3,0.1,10,3,0.030000000000000006,2.0352420293105102,0.2222222222222222,0.7777777777777778,0.0,1.0,4.0,0.0
eegmmidb,2,3,0.2,2,3,0.1,1.9300760125265155,0.8888888888888888,0.1111111111111111,0.0,1.0,3.935185185185185,0.0
eegmmidb,2,3,0.2,3,3,0.1,1.9300760125265155,0.8888888888888888,0.1111111111111111,0.0,1.0,3.935185185185185,0.0
eegmmidb,2,3,0.2,5,3,0.06000000000000001,1.9300760125265155,0.8888888888888888,0.1111111111111111,0.0,1.0,3.935185185185185,0.0
eegmmidb,2,3,0.2,10,3,0.030000000000000006,1.9300760125265155,0.8888888888888888,0.1111111111111111,0.0,1.0,3.935185185185185,0.0
eegmmidb,2,4,0.1,2,3,0.1,1.6117523008043755,0.4444444444444444,0.5555555555555556,0.0,1.0,3.9962962962962965,0.0
eegmmidb,2,4,0.1,3,3,0.1,1.6117523008043755,0.4444444444444444,0.5555555555555556,0.0,1.0,3.9962962962962965,0.0
eegmmidb,2,4,0.1,5,3,0.06000000000000001,1.6117523008043755,0.4444444444444444,0.5555555555555556,0.0,1.0,3.9962962962962965,0.0
eegmmidb,2,4,0.1,10,3,0.030000000000000006,1.6117523008043755,0.4444444444444444,0.5555555555555556,0.0,1.0,3.9962962962962965,0.0
eegmmidb,2,4,0.2,2,3,0.1,1.6117523008043755,0.8888888888888888,0.1111111111111111,0.0,1.0,3.90925925925926,0.0
eegmmidb,2,4,0.2,3,3,0.1,1.6117523008043755,0.8888888888888888,0.1111111111111111,0.0,1.0,3.90925925925926,0.0
eegmmidb,2,4,0.2,5,3,0.06000000000000001,1.6117523008043755,0.8888888888888888,0.1111111111111111,0.0,1.0,3.90925925925926,0.0
eegmmidb,2,4,0.2,10,3,0.030000000000000006,1.6117523008043755,0.8888888888888888,0.1111111111111111,0.0,1.0,3.90925925925926,0.0
eegmmidb,3,0,0.1,2,3,0.1,2.048849972346012,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,3,0,0.1,3,3,0.1,2.048849972346012,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,3,0,0.1,5,3,0.06000000000000001,2.048849972346012,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,3,0,0.1,10,3,0.030000000000000006,2.048849972346012,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,3,0,0.2,2,3,0.1,2.048849972346012,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,3,0,0.2,3,3,0.1,2.048849972346012,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,3,0,0.2,5,3,0.06000000000000001,2.048849972346012,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,3,0,0.2,10,3,0.030000000000000006,2.048849972346012,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,3,1,0.1,2,3,0.1,2.3605890000979617,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,3,1,0.1,3,3,0.1,2.3605890000979617,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,3,1,0.1,5,3,0.06000000000000001,2.3605890000979617,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,3,1,0.1,10,3,0.030000000000000006,2.3605890000979617,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,3,1,0.2,2,3,0.1,2.3605890000979617,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,3,1,0.2,3,3,0.1,2.3605890000979617,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,3,1,0.2,5,3,0.06000000000000001,2.3605890000979617,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,3,1,0.2,10,3,0.030000000000000006,2.3605890000979617,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,3,2,0.1,2,3,0.1,1.0145203750318577,0.5555555555555556,0.4444444444444444,0.0,1.0,3.8777777777777778,0.0
eegmmidb,3,2,0.1,3,3,0.1,1.0145203750318577,0.5555555555555556,0.4444444444444444,0.0,1.0,3.8777777777777778,0.0
eegmmidb,3,2,0.1,5,3,0.06000000000000001,1.0145203750318577,0.5555555555555556,0.4444444444444444,0.0,1.0,3.8777777777777778,0.0
eegmmidb,3,2,0.1,10,3,0.030000000000000006,1.0145203750318577,0.5555555555555556,0.4444444444444444,0.0,1.0,3.8777777777777778,0.0
eegmmidb,3,2,0.2,2,3,0.1,1.0145203750318577,0.7777777777777778,0.2222222222222222,0.0,1.0,3.566666666666667,0.0
eegmmidb,3,2,0.2,3,3,0.1,1.0145203750318577,0.7777777777777778,0.2222222222222222,0.0,1.0,3.566666666666667,0.0
eegmmidb,3,2,0.2,5,3,0.06000000000000001,1.0145203750318577,0.7777777777777778,0.2222222222222222,0.0,1.0,3.566666666666667,0.0
eegmmidb,3,2,0.2,10,3,0.030000000000000006,1.0145203750318577,0.7777777777777778,0.2222222222222222,0.0,1.0,3.566666666666667,0.0
eegmmidb,3,3,0.1,2,3,0.1,1.1100212747956006,0.2222222222222222,0.7777777777777778,0.0,1.0,3.8759259259259258,0.0
eegmmidb,3,3,0.1,3,3,0.1,1.1100212747956006,0.2222222222222222,0.7777777777777778,0.0,1.0,3.8759259259259258,0.0
eegmmidb,3,3,0.1,5,3,0.06000000000000001,1.1100212747956006,0.2222222222222222,0.7777777777777778,0.0,1.0,3.8759259259259258,0.0
eegmmidb,3,3,0.1,10,3,0.030000000000000006,1.1100212747956006,0.2222222222222222,0.7777777777777778,0.0,1.0,3.8759259259259258,0.0
eegmmidb,3,3,0.2,2,3,0.1,1.1100212747956006,0.7777777777777778,0.2222222222222222,0.0,1.0,3.6351851851851853,0.0
eegmmidb,3,3,0.2,3,3,0.1,1.1100212747956006,0.7777777777777778,0.2222222222222222,0.0,1.0,3.6351851851851853,0.0
eegmmidb,3,3,0.2,5,3,0.06000000000000001,1.1100212747956006,0.7777777777777778,0.2222222222222222,0.0,1.0,3.6351851851851853,0.0
eegmmidb,3,3,0.2,10,3,0.030000000000000006,1.1100212747956006,0.7777777777777778,0.2222222222222222,0.0,1.0,3.6351851851851853,0.0
eegmmidb,3,4,0.1,2,3,0.1,1.1702830640337745,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9722222222222223,0.0
eegmmidb,3,4,0.1,3,3,0.1,1.1702830640337745,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9722222222222223,0.0
eegmmidb,3,4,0.1,5,3,0.06000000000000001,1.1702830640337745,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9722222222222223,0.0
eegmmidb,3,4,0.1,10,3,0.030000000000000006,1.1702830640337745,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9722222222222223,0.0
eegmmidb,3,4,0.2,2,3,0.1,1.290559840362434,0.6666666666666666,0.3333333333333333,0.0,1.0,3.904093567251462,0.0
eegmmidb,3,4,0.2,3,3,0.1,1.290559840362434,0.6666666666666666,0.3333333333333333,0.0,1.0,3.904093567251462,0.0
eegmmidb,3,4,0.2,5,3,0.06000000000000001,1.290559840362434,0.6666666666666666,0.3333333333333333,0.0,1.0,3.904093567251462,0.0
eegmmidb,3,4,0.2,10,3,0.030000000000000006,1.290559840362434,0.6666666666666666,0.3333333333333333,0.0,1.0,3.904093567251462,0.0
eegmmidb,4,0,0.1,2,3,0.1,1.133284851701,0.3333333333333333,0.6666666666666666,0.0,1.0,3.92270955165692,0.0
eegmmidb,4,0,0.1,3,3,0.1,1.133284851701,0.3333333333333333,0.6666666666666666,0.0,1.0,3.92270955165692,0.0
eegmmidb,4,0,0.1,5,3,0.06000000000000001,1.133284851701,0.3333333333333333,0.6666666666666666,0.0,1.0,3.92270955165692,0.0
eegmmidb,4,0,0.1,10,3,0.030000000000000006,1.133284851701,0.3333333333333333,0.6666666666666666,0.0,1.0,3.92270955165692,0.0
eegmmidb,4,0,0.2,2,3,0.1,1.133284851701,0.5555555555555556,0.4444444444444444,0.0,1.0,3.671954191033139,0.0
eegmmidb,4,0,0.2,3,3,0.1,1.133284851701,0.5555555555555556,0.4444444444444444,0.0,1.0,3.671954191033139,0.0
eegmmidb,4,0,0.2,5,3,0.06000000000000001,1.133284851701,0.5555555555555556,0.4444444444444444,0.0,1.0,3.671954191033139,0.0
eegmmidb,4,0,0.2,10,3,0.030000000000000006,1.133284851701,0.5555555555555556,0.4444444444444444,0.0,1.0,3.671954191033139,0.0
eegmmidb,4,1,0.1,2,3,0.1,1.5100008848338393,0.2222222222222222,0.7777777777777778,0.0,1.0,3.988888888888889,0.0
eegmmidb,4,1,0.1,3,3,0.1,1.5100008848338393,0.2222222222222222,0.7777777777777778,0.0,1.0,3.988888888888889,0.0
eegmmidb,4,1,0.1,5,3,0.06000000000000001,1.5100008848338393,0.2222222222222222,0.7777777777777778,0.0,1.0,3.988888888888889,0.0
eegmmidb,4,1,0.1,10,3,0.030000000000000006,1.5100008848338393,0.2222222222222222,0.7777777777777778,0.0,1.0,3.988888888888889,0.0
eegmmidb,4,1,0.2,2,3,0.1,1.5100008848338393,0.6666666666666666,0.3333333333333333,0.0,1.0,3.90925925925926,0.0
eegmmidb,4,1,0.2,3,3,0.1,1.5100008848338393,0.6666666666666666,0.3333333333333333,0.0,1.0,3.90925925925926,0.0
eegmmidb,4,1,0.2,5,3,0.06000000000000001,1.5100008848338393,0.6666666666666666,0.3333333333333333,0.0,1.0,3.90925925925926,0.0
eegmmidb,4,1,0.2,10,3,0.030000000000000006,1.5100008848338393,0.6666666666666666,0.3333333333333333,0.0,1.0,3.90925925925926,0.0
eegmmidb,4,2,0.1,2,3,0.1,1.1193682201649373,0.3333333333333333,0.6666666666666666,0.0,1.0,3.9851851851851854,0.0
eegmmidb,4,2,0.1,3,3,0.1,1.1193682201649373,0.3333333333333333,0.6666666666666666,0.0,1.0,3.9851851851851854,0.0
eegmmidb,4,2,0.1,5,3,0.06000000000000001,1.1193682201649373,0.3333333333333333,0.6666666666666666,0.0,1.0,3.9851851851851854,0.0
eegmmidb,4,2,0.1,10,3,0.030000000000000006,1.1193682201649373,0.3333333333333333,0.6666666666666666,0.0,1.0,3.9851851851851854,0.0
eegmmidb,4,2,0.2,2,3,0.1,1.2040064760298717,0.8888888888888888,0.1111111111111111,0.0,1.0,3.781481481481481,0.0
eegmmidb,4,2,0.2,3,3,0.1,1.2040064760298717,0.8888888888888888,0.1111111111111111,0.0,1.0,3.781481481481481,0.0
eegmmidb,4,2,0.2,5,3,0.06000000000000001,1.2040064760298717,0.8888888888888888,0.1111111111111111,0.0,1.0,3.781481481481481,0.0
eegmmidb,4,2,0.2,10,3,0.030000000000000006,1.2040064760298717,0.8888888888888888,0.1111111111111111,0.0,1.0,3.781481481481481,0.0
eegmmidb,4,3,0.1,2,3,0.1,1.2285826283027925,0.2222222222222222,0.7777777777777778,0.0,1.0,3.968518518518519,0.0
eegmmidb,4,3,0.1,3,3,0.1,1.2285826283027925,0.2222222222222222,0.7777777777777778,0.0,1.0,3.968518518518519,0.0
eegmmidb,4,3,0.1,5,3,0.06000000000000001,1.2285826283027925,0.2222222222222222,0.7777777777777778,0.0,1.0,3.968518518518519,0.0
eegmmidb,4,3,0.1,10,3,0.030000000000000006,1.2285826283027925,0.2222222222222222,0.7777777777777778,0.0,1.0,3.968518518518519,0.0
eegmmidb,4,3,0.2,2,3,0.1,1.2285826283027925,0.4444444444444444,0.5555555555555556,0.0,1.0,3.9629629629629637,0.0
eegmmidb,4,3,0.2,3,3,0.1,1.2285826283027925,0.4444444444444444,0.5555555555555556,0.0,1.0,3.9629629629629637,0.0
eegmmidb,4,3,0.2,5,3,0.06000000000000001,1.2285826283027925,0.4444444444444444,0.5555555555555556,0.0,1.0,3.9629629629629637,0.0
eegmmidb,4,3,0.2,10,3,0.030000000000000006,1.2285826283027925,0.4444444444444444,0.5555555555555556,0.0,1.0,3.9629629629629637,0.0
eegmmidb,4,4,0.1,2,3,0.1,2.282046472557606,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,4,4,0.1,3,3,0.1,2.282046472557606,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,4,4,0.1,5,3,0.06000000000000001,2.282046472557606,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,4,4,0.1,10,3,0.030000000000000006,2.282046472557606,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,4,4,0.2,2,3,0.1,2.282046472557606,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,4,4,0.2,3,3,0.1,2.282046472557606,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,4,4,0.2,5,3,0.06000000000000001,2.282046472557606,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,4,4,0.2,10,3,0.030000000000000006,2.282046472557606,0.0,1.0,0.0,1.0,4.0,0.0
hmc,0,0,0.1,2,3,0.1,0.8912211337059628,0.2727272727272727,0.7272727272727273,0.0,1.0,4.310606060606061,0.0
hmc,0,0,0.1,3,3,0.1,0.8912211337059628,0.2727272727272727,0.7272727272727273,0.0,1.0,4.310606060606061,0.0
hmc,0,0,0.1,5,3,0.06000000000000001,0.8912211337059628,0.2727272727272727,0.7272727272727273,0.0,1.0,4.310606060606061,0.0
hmc,0,0,0.1,10,3,0.030000000000000006,0.8912211337059628,0.2727272727272727,0.7272727272727273,0.0,1.0,4.310606060606061,0.0
hmc,0,0,0.2,2,3,0.1,0.940065396680301,0.36363636363636365,0.6363636363636364,0.0,1.0,4.0420454545454545,0.0
