model,task,fold,epoch,trajectory_provenance,coordinate_correlation,crossfit,direction,fit_trials,normalized_mse,r2,subject,test_trials
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.7137035927456238,4,within_s2,1344,0.5497772488104679,0.45022275118953214,52,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.7245521707442797,0,s1_to_s2,1280,0.49037786155807556,0.5096221384419244,1,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.6708708290426816,0,s1_to_s2,1280,0.5574821685117013,0.4425178314882987,7,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.6415050539912022,0,s1_to_s2,1280,0.60076253137583,0.39923746862417,21,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.7373024338994904,0,s1_to_s2,1280,0.49863009510314044,0.5013699048968596,31,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.7358880317459698,0,s1_to_s2,1280,0.49356928286265744,0.5064307171373426,44,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.6906657320817167,0,s1_to_s2,1280,0.5396913037205193,0.4603086962794807,53,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.7260121899786061,1,s1_to_s2,1344,0.5287595212172035,0.4712404787827965,2,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.640654890291147,1,s1_to_s2,1344,0.6517173008713129,0.34828269912868715,9,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.6819639567350184,1,s1_to_s2,1344,0.5694366409877273,0.4305633590122727,23,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.7040976277233775,1,s1_to_s2,1344,0.5295873831902571,0.4704126168097429,33,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.6983335013215007,1,s1_to_s2,1344,0.5194658743559923,0.48053412564400766,47,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.7392143289616682,2,s1_to_s2,1344,0.48367718466770043,0.5163228153322996,3,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.7542154766945018,2,s1_to_s2,1344,0.44055654693044877,0.5594434530695512,11,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.7109925849604753,2,s1_to_s2,1344,0.5603110233700312,0.43968897662996875,26,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.7237360625152144,2,s1_to_s2,1344,0.47577633120143087,0.5242236687985691,38,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.6953911742263843,2,s1_to_s2,1344,0.5088691832559514,0.49113081674404857,48,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.6587465500624841,3,s1_to_s2,1344,0.5967491491034436,0.40325085089655643,5,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.7244967806220368,3,s1_to_s2,1344,0.49421960186040187,0.5057803981395981,15,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.6847336402820918,3,s1_to_s2,1344,0.5285340828452402,0.47146591715475983,28,64
