family_id,action,feature,n_grouped_units,pearson_r,pearson_p,spearman_r,spearman_p,spearman_group_bootstrap_CI_L,spearman_group_bootstrap_CI_U,grouped_permutation_p
openbmi_sample_router,amplify,f_router_protected_slot0_contribution_norm,52,0.127357345,0.3682622677,0.1936751492,0.1689061451,-0.0751339403,0.4627371758,0.1727574751
openbmi_sample_router,amplify,f_router_probability_shift_l1,52,-0.2328433336,0.09668123771,-0.190344022,0.1764974339,-0.4592887985,0.09041596187,0.1827242525
openbmi_sample_router,erase,f_router_margin_geo,52,-0.1523943107,0.2807964653,-0.1749247519,0.2148547008,-0.4610198312,0.1374507683,0.1993355482
openbmi_sample_router,erase,f_router_margin_change_full_erase,52,-0.1559999127,0.2694355731,-0.15831608,0.2623011901,-0.4094299167,0.1277272837,0.2425249169
openbmi_sample_router,erase,f_router_entropy_geo,52,0.1267141606,0.3707057475,0.1642081024,0.2447267418,-0.1476985747,0.4349399634,0.2657807309
openbmi_sample_router,geometry,f_router_protected_slot1_geometry_margin,52,-0.1602000057,0.2565923712,-0.163481471,0.2468496697,-0.4381989868,0.08090385035,0.2724252492
openbmi_sample_router,amplify,f_router_protected_slot1_geometry_margin,52,-0.1461518324,0.301201358,-0.1455446325,0.3032359476,-0.4097925856,0.169479432,0.2956810631
openbmi_sample_router,amplify,f_router_protected_slot1_contribution_norm,52,-0.149809748,0.2891314502,-0.1495590678,0.2899483797,-0.4061813221,0.148297342,0.2990033223
openbmi_sample_router,amplify,f_router_js_base_geo,52,-0.1624833255,0.2497861929,-0.1443061365,0.3074132612,-0.4060907049,0.1486584923,0.3089700997
openbmi_sample_router,amplify,f_router_margin_geo,52,0.1245563105,0.3789745339,0.1426832797,0.3129426216,-0.1388566247,0.3868456387,0.3122923588
openbmi_sample_router,amplify,f_router_delta_p_l2,52,0.1050408513,0.4586321666,0.1376011755,0.3306661899,-0.1092334807,0.4244955528,0.3156146179
openbmi_sample_router,erase,f_router_protected_slot1_present,52,0.1447421617,0.3059384024,0.1450902535,0.3047642496,-0.1180963692,0.4030992888,0.3189368771
openbmi_sample_router,geometry,f_router_protected_slot1_contribution_norm,52,-0.1177555383,0.4057457086,-0.1443061365,0.3074132612,-0.3945885377,0.1781858419,0.3289036545
openbmi_sample_router,amplify,f_router_entropy_geo,52,-0.1193318763,0.3994449603,-0.1439217757,0.3087171433,-0.4134530351,0.1227216029,0.3322259136
openbmi_sample_router,amplify,f_router_kl_full_erase,52,-0.1860150985,0.1867269404,-0.1422562121,0.3144082037,-0.4046265107,0.1265790554,0.3488372093
openbmi_sample_router,amplify,f_router_protected_slot1_present,52,-0.1026226038,0.4690979183,-0.1316432312,0.3522294318,-0.444953042,0.1554560216,0.3853820598
openbmi_sample_router,erase,f_router_delta_p_l2,52,-0.0286416305,0.8402620575,-0.119206714,0.3999431479,-0.3923919585,0.195425932,0.4252491694
openbmi_sample_router,erase,f_router_protected_slot0_signed_midpoint_distance,52,-0.1995306908,0.1561425068,-0.1036227417,0.4647540391,-0.3679733156,0.161043934,0.4352159468
openbmi_sample_router,amplify,f_router_protected_slot1_prototype_distance_difference,52,-0.02182525781,0.8779436377,0.10091607,0.4765598743,-0.1879485074,0.3352919724,0.4584717608
openbmi_sample_router,geometry,f_router_confidence_diff_base_geo,52,0.1579495437,0.2634217049,0.1173154652,0.4075149381,-0.1228829796,0.3350089821,0.4617940199
openbmi_sample_router,erase,f_router_protected_slot1_projection,52,-0.1064578902,0.4525589665,-0.1064406655,0.4526325236,-0.3550880766,0.1462347621,0.4784053156
