baseline,task,metric,delta_LiteBN_minus_baseline,CI_low,CI_high,n_subjects,bootstrap_draws,status
ModernTCN,OpenBMI_ERP,future_BA,0.052240981240981255,0.0369520562770563,0.06629296536796532,14,20000,COMPLETE
ModernTCN,OpenBMI_ERP,future_macro_F1,0.038752648433454294,0.025176510352979745,0.04918691736600254,14,20000,COMPLETE
ModernTCN,OpenBMI_ERP,WS_BA,0.05181693395883812,0.03510405517095938,0.06762105139150311,14,20000,COMPLETE
Medformer,OpenBMI_ERP,future_BA,0.04965367965367968,0.0334327922077923,0.06592247474747472,14,20000,COMPLETE
Medformer,OpenBMI_ERP,future_macro_F1,0.018167568883089173,0.0025740399403606667,0.03308746926446554,14,20000,COMPLETE
Medformer,OpenBMI_ERP,WS_BA,0.052053120654697346,0.03758578643578644,0.06653482625790075,14,20000,COMPLETE
EEGNet,OpenBMI_SSVEP,future_BA,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
EEGNet,OpenBMI_SSVEP,future_macro_F1,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
EEGNet,OpenBMI_SSVEP,WS_BA,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
CBraMod,OpenBMI_SSVEP,future_BA,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
CBraMod,OpenBMI_SSVEP,future_macro_F1,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
CBraMod,OpenBMI_SSVEP,WS_BA,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
TeCh,OpenBMI_SSVEP,future_BA,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
TeCh,OpenBMI_SSVEP,future_macro_F1,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
TeCh,OpenBMI_SSVEP,WS_BA,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
ModernTCN,OpenBMI_SSVEP,future_BA,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
ModernTCN,OpenBMI_SSVEP,future_macro_F1,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
ModernTCN,OpenBMI_SSVEP,WS_BA,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
Medformer,OpenBMI_SSVEP,future_BA,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
Medformer,OpenBMI_SSVEP,future_macro_F1,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
Medformer,OpenBMI_SSVEP,WS_BA,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
EEGNet,WBCIC_MI,future_BA,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
EEGNet,WBCIC_MI,future_macro_F1,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
EEGNet,WBCIC_MI,WS_BA,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
CBraMod,WBCIC_MI,future_BA,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
CBraMod,WBCIC_MI,future_macro_F1,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
CBraMod,WBCIC_MI,WS_BA,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
TeCh,WBCIC_MI,future_BA,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
TeCh,WBCIC_MI,future_macro_F1,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
TeCh,WBCIC_MI,WS_BA,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
ModernTCN,WBCIC_MI,future_BA,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
ModernTCN,WBCIC_MI,future_macro_F1,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
ModernTCN,WBCIC_MI,WS_BA,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
Medformer,WBCIC_MI,future_BA,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
Medformer,WBCIC_MI,future_macro_F1,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
Medformer,WBCIC_MI,WS_BA,,,,,20000,NOT_ESTIMABLE_INCOMPLETE_3SEED_CELL
