model,task,input_shape,parameters,trainable_parameters,MACs,MACs_M,MACs_G,profiler,counting_convention,unsupported_major_ops,status,counted_operator_events,all_operator_names
TeCh,OpenBMI_SSVEP,"(1, 62, 1000)",6203140,6203140,3163710464,3163.710464,3.163710464,torch.profiler/2.8.0+cu128/CPU/with_flops,one multiply-add pair = 1 MAC; counted ATen Conv/Matmul FLOPs divided by 2 after toy verification; elementwise/norm/pool/softmax excluded,,COUNTED_ATEN_CONV_MATMUL,aten::bmm:31744000;aten::addmm:6295676928,aten::_reshape_alias;aten::_softmax;aten::_to_copy;aten::_unsafe_view;aten::add;aten::add_;aten::addmm;aten::alias;aten::as_strided;aten::bmm;aten::cat;aten::clone;aten::contiguous;aten::copy_;aten::div_;aten::dropout;aten::empty;aten::empty_like;aten::empty_strided;aten::expand;aten::expand_as;aten::fill_;aten::gelu;aten::layer_norm;aten::linear;aten::matmul;aten::mean;aten::mul;aten::narrow;aten::native_layer_norm;aten::repeat;aten::reshape;aten::resolve_conj;aten::slice;aten::softmax;aten::sum;aten::t;aten::to;aten::transpose;aten::unfold;aten::view;closure::module_convolution
TeCh,WBCIC_MI,"(1, 58, 1000)",789954,789954,130564864,130.564864,0.130564864,torch.profiler/2.8.0+cu128/CPU/with_flops,one multiply-add pair = 1 MAC; counted ATen Conv/Matmul FLOPs divided by 2 after toy verification; elementwise/norm/pool/softmax excluded,,COUNTED_ATEN_CONV_MATMUL,aten::bmm:5472256;aten::addmm:240779776;closure::module_convolution:14877696,aten::_convolution;aten::_pad_circular;aten::_reshape_alias;aten::_softmax;aten::_to_copy;aten::_unsafe_view;aten::add;aten::add_;aten::addmm;aten::alias;aten::as_strided;aten::as_strided_;aten::bmm;aten::cat;aten::clone;aten::contiguous;aten::conv2d;aten::convolution;aten::copy_;aten::div_;aten::dropout;aten::empty;aten::empty_like;aten::empty_strided;aten::expand;aten::expand_as;aten::fill_;aten::gelu;aten::layer_norm;aten::linear;aten::matmul;aten::mean;aten::mkldnn_convolution;aten::mul;aten::narrow;aten::native_layer_norm;aten::new_empty;aten::pad;aten::repeat;aten::replication_pad1d;aten::reshape;aten::resize_;aten::resolve_conj;aten::slice;aten::softmax;aten::squeeze;aten::sum;aten::t;aten::to;aten::transpose;aten::unfold;aten::unsqueeze;aten::view;closure::module_convolution
ModernTCN,OpenBMI_MI,"(1, 62, 1000)",17391170,17391170,688844800,688.8448,0.6888448,torch.profiler/2.8.0+cu128/CPU/with_flops,one multiply-add pair = 1 MAC; counted ATen Conv/Matmul FLOPs divided by 2 after toy verification; elementwise/norm/pool/softmax excluded,,COUNTED_ATEN_CONV_MATMUL,aten::addmm:984064;closure::module_convolution:1376705536,aten::_batch_norm_impl_index;aten::_convolution;aten::_reshape_alias;aten::_unsafe_view;aten::add;aten::add_;aten::addmm;aten::alias;aten::as_strided;aten::as_strided_;aten::batch_norm;aten::cat;aten::clone;aten::contiguous;aten::conv1d;aten::convolution;aten::copy_;aten::dropout;aten::empty;aten::empty_like;aten::expand;aten::expand_as;aten::gelu;aten::linear;aten::mkldnn_convolution;aten::narrow;aten::native_batch_norm;aten::permute;aten::repeat;aten::reshape;aten::resize_;aten::resolve_conj;aten::slice;aten::squeeze;aten::t;aten::transpose;aten::unfold;aten::unsqueeze;aten::view;closure::module_convolution
ModernTCN,OpenBMI_ERP,"(1, 62, 250)",17026114,17026114,173417472,173.417472,0.173417472,torch.profiler/2.8.0+cu128/CPU/with_flops,one multiply-add pair = 1 MAC; counted ATen Conv/Matmul FLOPs divided by 2 after toy verification; elementwise/norm/pool/softmax excluded,,COUNTED_ATEN_CONV_MATMUL,aten::addmm:253952;closure::module_convolution:346580992,aten::_batch_norm_impl_index;aten::_convolution;aten::_reshape_alias;aten::_unsafe_view;aten::add;aten::add_;aten::addmm;aten::alias;aten::as_strided;aten::as_strided_;aten::batch_norm;aten::cat;aten::clone;aten::contiguous;aten::conv1d;aten::convolution;aten::copy_;aten::dropout;aten::empty;aten::empty_like;aten::expand;aten::expand_as;aten::gelu;aten::linear;aten::mkldnn_convolution;aten::narrow;aten::native_batch_norm;aten::permute;aten::repeat;aten::reshape;aten::resize_;aten::resolve_conj;aten::slice;aten::squeeze;aten::t;aten::transpose;aten::unfold;aten::unsqueeze;aten::view;closure::module_convolution
ModernTCN,OpenBMI_SSVEP,"(1, 62, 1000)",17883204,17883204,689336832,689.336832,0.689336832,torch.profiler/2.8.0+cu128/CPU/with_flops,one multiply-add pair = 1 MAC; counted ATen Conv/Matmul FLOPs divided by 2 after toy verification; elementwise/norm/pool/softmax excluded,,COUNTED_ATEN_CONV_MATMUL,aten::addmm:1968128;closure::module_convolution:1376705536,aten::_batch_norm_impl_index;aten::_convolution;aten::_reshape_alias;aten::_unsafe_view;aten::add;aten::add_;aten::addmm;aten::alias;aten::as_strided;aten::as_strided_;aten::batch_norm;aten::cat;aten::clone;aten::contiguous;aten::conv1d;aten::convolution;aten::copy_;aten::dropout;aten::empty;aten::empty_like;aten::expand;aten::expand_as;aten::gelu;aten::linear;aten::mkldnn_convolution;aten::narrow;aten::native_batch_norm;aten::permute;aten::repeat;aten::reshape;aten::resize_;aten::resolve_conj;aten::slice;aten::squeeze;aten::t;aten::transpose;aten::unfold;aten::unsqueeze;aten::view;closure::module_convolution
ModernTCN,WBCIC_MI,"(1, 58, 1000)",15914050,15914050,629673984,629.673984,0.629673984,torch.profiler/2.8.0+cu128/CPU/with_flops,one multiply-add pair = 1 MAC; counted ATen Conv/Matmul FLOPs divided by 2 after toy verification; elementwise/norm/pool/softmax excluded,,COUNTED_ATEN_CONV_MATMUL,aten::addmm:920576;closure::module_convolution:1258427392,aten::_batch_norm_impl_index;aten::_convolution;aten::_reshape_alias;aten::_unsafe_view;aten::add;aten::add_;aten::addmm;aten::alias;aten::as_strided;aten::as_strided_;aten::batch_norm;aten::cat;aten::clone;aten::contiguous;aten::conv1d;aten::convolution;aten::copy_;aten::dropout;aten::empty;aten::empty_like;aten::expand;aten::expand_as;aten::gelu;aten::linear;aten::mkldnn_convolution;aten::narrow;aten::native_batch_norm;aten::permute;aten::repeat;aten::reshape;aten::resize_;aten::resolve_conj;aten::slice;aten::squeeze;aten::t;aten::transpose;aten::unfold;aten::unsqueeze;aten::view;closure::module_convolution
Medformer,OpenBMI_MI,"(1, 62, 1000)",3890178,3890178,587909376,587.909376,0.587909376,torch.profiler/2.8.0+cu128/CPU/with_flops,one multiply-add pair = 1 MAC; counted ATen Conv/Matmul FLOPs divided by 2 after toy verification; elementwise/norm/pool/softmax excluded,,COUNTED_ATEN_CONV_MATMUL,aten::bmm:238740480;aten::addmm:395177472;closure::module_convolution:541900800,aten::_convolution;aten::_pad_circular;aten::_reshape_alias;aten::_slow_conv2d_forward;aten::_softmax;aten::_to_copy;aten::_unsafe_view;aten::add;aten::add_;aten::addmm;aten::as_strided;aten::as_strided_;aten::bmm;aten::cat;aten::clone;aten::contiguous;aten::conv1d;aten::conv2d;aten::convolution;aten::copy_;aten::detach;aten::dropout;aten::einsum;aten::empty;aten::empty_like;aten::empty_strided;aten::expand;aten::gelu;aten::layer_norm;aten::linear;aten::matmul;aten::mkldnn_convolution;aten::mul;aten::narrow;aten::native_layer_norm;aten::new_empty;aten::pad;aten::permute;aten::replication_pad1d;aten::reshape;aten::resize_;aten::resolve_conj;aten::slice;aten::softmax;aten::squeeze;aten::t;aten::thnn_conv2d;aten::to;aten::transpose;aten::unsqueeze;aten::view;closure::module_convolution
Medformer,OpenBMI_ERP,"(1, 62, 250)",3781890,3781890,133785600,133.7856,0.1337856,torch.profiler/2.8.0+cu128/CPU/with_flops,one multiply-add pair = 1 MAC; counted ATen Conv/Matmul FLOPs divided by 2 after toy verification; elementwise/norm/pool/softmax excluded,,COUNTED_ATEN_CONV_MATMUL,aten::bmm:26062848;aten::addmm:103882752;closure::module_convolution:137625600,aten::_convolution;aten::_pad_circular;aten::_reshape_alias;aten::_slow_conv2d_forward;aten::_softmax;aten::_to_copy;aten::_unsafe_view;aten::add;aten::add_;aten::addmm;aten::as_strided;aten::as_strided_;aten::bmm;aten::cat;aten::clone;aten::contiguous;aten::conv1d;aten::conv2d;aten::convolution;aten::copy_;aten::detach;aten::dropout;aten::einsum;aten::empty;aten::empty_like;aten::empty_strided;aten::expand;aten::gelu;aten::layer_norm;aten::linear;aten::matmul;aten::mkldnn_convolution;aten::mul;aten::native_layer_norm;aten::new_empty;aten::pad;aten::permute;aten::replication_pad1d;aten::reshape;aten::resize_;aten::resolve_conj;aten::slice;aten::softmax;aten::squeeze;aten::t;aten::thnn_conv2d;aten::to;aten::transpose;aten::unsqueeze;aten::view;closure::module_convolution
Medformer,OpenBMI_SSVEP,"(1, 62, 1000)",4035332,4035332,588054528,588.054528,0.588054528,torch.profiler/2.8.0+cu128/CPU/with_flops,one multiply-add pair = 1 MAC; counted ATen Conv/Matmul FLOPs divided by 2 after toy verification; elementwise/norm/pool/softmax excluded,,COUNTED_ATEN_CONV_MATMUL,aten::bmm:238740480;aten::addmm:395467776;closure::module_convolution:541900800,aten::_convolution;aten::_pad_circular;aten::_reshape_alias;aten::_slow_conv2d_forward;aten::_softmax;aten::_to_copy;aten::_unsafe_view;aten::add;aten::add_;aten::addmm;aten::as_strided;aten::as_strided_;aten::bmm;aten::cat;aten::clone;aten::contiguous;aten::conv1d;aten::conv2d;aten::convolution;aten::copy_;aten::detach;aten::dropout;aten::einsum;aten::empty;aten::empty_like;aten::empty_strided;aten::expand;aten::gelu;aten::layer_norm;aten::linear;aten::matmul;aten::mkldnn_convolution;aten::mul;aten::narrow;aten::native_layer_norm;aten::new_empty;aten::pad;aten::permute;aten::replication_pad1d;aten::reshape;aten::resize_;aten::resolve_conj;aten::slice;aten::softmax;aten::squeeze;aten::t;aten::thnn_conv2d;aten::to;aten::transpose;aten::unsqueeze;aten::view;closure::module_convolution
Medformer,WBCIC_MI,"(1, 58, 1000)",3853314,3853314,584812800,584.8128,0.5848128,torch.profiler/2.8.0+cu128/CPU/with_flops,one multiply-add pair = 1 MAC; counted ATen Conv/Matmul FLOPs divided by 2 after toy verification; elementwise/norm/pool/softmax excluded,,COUNTED_ATEN_CONV_MATMUL,aten::bmm:238740480;aten::addmm:395177472;closure::module_convolution:535707648,aten::_convolution;aten::_pad_circular;aten::_reshape_alias;aten::_slow_conv2d_forward;aten::_softmax;aten::_to_copy;aten::_unsafe_view;aten::add;aten::add_;aten::addmm;aten::as_strided;aten::as_strided_;aten::bmm;aten::cat;aten::clone;aten::contiguous;aten::conv1d;aten::conv2d;aten::convolution;aten::copy_;aten::detach;aten::dropout;aten::einsum;aten::empty;aten::empty_like;aten::empty_strided;aten::expand;aten::gelu;aten::layer_norm;aten::linear;aten::matmul;aten::mkldnn_convolution;aten::mul;aten::narrow;aten::native_layer_norm;aten::new_empty;aten::pad;aten::permute;aten::replication_pad1d;aten::reshape;aten::resize_;aten::resolve_conj;aten::slice;aten::softmax;aten::squeeze;aten::t;aten::thnn_conv2d;aten::to;aten::transpose;aten::unsqueeze;aten::view;closure::module_convolution
LiteBN,OpenBMI_MI,"(1, 62, 1000)",16618,16618,105312320,105.31232,0.10531232,torch.profiler/2.8.0+cu128/CPU/with_flops,one multiply-add pair = 1 MAC; counted ATen Conv/Matmul FLOPs divided by 2 after toy verification; elementwise/norm/pool/softmax excluded,,COUNTED_ATEN_CONV_MATMUL,aten::addmm:16640;closure::module_convolution:210608000,aten::_adaptive_avg_pool2d;aten::_batch_norm_impl_index;aten::_convolution;aten::_convolution_mode;aten::_slow_conv2d_forward;aten::adaptive_avg_pool2d;aten::addmm;aten::as_strided;aten::as_strided_;aten::avg_pool2d;aten::batch_norm;aten::cat;aten::conv2d;aten::convolution;aten::copy_;aten::detach;aten::dropout;aten::elu;aten::empty;aten::empty_like;aten::expand;aten::flatten;aten::layer_norm;aten::linear;aten::mkldnn_convolution;aten::native_batch_norm;aten::native_layer_norm;aten::resize_;aten::resolve_conj;aten::t;aten::thnn_conv2d;aten::transpose;aten::unsqueeze;aten::view;closure::module_convolution
LiteBN,OpenBMI_ERP,"(1, 62, 250)",16618,16618,26333024,26.333024,0.026333024,torch.profiler/2.8.0+cu128/CPU/with_flops,one multiply-add pair = 1 MAC; counted ATen Conv/Matmul FLOPs divided by 2 after toy verification; elementwise/norm/pool/softmax excluded,,COUNTED_ATEN_CONV_MATMUL,aten::addmm:16640;closure::module_convolution:52649408,aten::_adaptive_avg_pool2d;aten::_batch_norm_impl_index;aten::_convolution;aten::_convolution_mode;aten::_slow_conv2d_forward;aten::adaptive_avg_pool2d;aten::addmm;aten::as_strided;aten::as_strided_;aten::avg_pool2d;aten::batch_norm;aten::cat;aten::conv2d;aten::convolution;aten::copy_;aten::detach;aten::dropout;aten::elu;aten::empty;aten::empty_like;aten::expand;aten::flatten;aten::layer_norm;aten::linear;aten::mkldnn_convolution;aten::native_batch_norm;aten::native_layer_norm;aten::resize_;aten::resolve_conj;aten::t;aten::thnn_conv2d;aten::transpose;aten::unsqueeze;aten::view;closure::module_convolution
LiteBN,OpenBMI_SSVEP,"(1, 62, 1000)",16748,16748,105312448,105.312448,0.105312448,torch.profiler/2.8.0+cu128/CPU/with_flops,one multiply-add pair = 1 MAC; counted ATen Conv/Matmul FLOPs divided by 2 after toy verification; elementwise/norm/pool/softmax excluded,,COUNTED_ATEN_CONV_MATMUL,aten::addmm:16896;closure::module_convolution:210608000,aten::_adaptive_avg_pool2d;aten::_batch_norm_impl_index;aten::_convolution;aten::_convolution_mode;aten::_slow_conv2d_forward;aten::adaptive_avg_pool2d;aten::addmm;aten::as_strided;aten::as_strided_;aten::avg_pool2d;aten::batch_norm;aten::cat;aten::conv2d;aten::convolution;aten::copy_;aten::detach;aten::dropout;aten::elu;aten::empty;aten::empty_like;aten::expand;aten::flatten;aten::layer_norm;aten::linear;aten::mkldnn_convolution;aten::native_batch_norm;aten::native_layer_norm;aten::resize_;aten::resolve_conj;aten::t;aten::thnn_conv2d;aten::transpose;aten::unsqueeze;aten::view;closure::module_convolution
LiteBN,WBCIC_MI,"(1, 58, 1000)",16426,16426,98560320,98.56032,0.09856032,torch.profiler/2.8.0+cu128/CPU/with_flops,one multiply-add pair = 1 MAC; counted ATen Conv/Matmul FLOPs divided by 2 after toy verification; elementwise/norm/pool/softmax excluded,,COUNTED_ATEN_CONV_MATMUL,aten::addmm:16640;closure::module_convolution:197104000,aten::_adaptive_avg_pool2d;aten::_batch_norm_impl_index;aten::_convolution;aten::_convolution_mode;aten::_slow_conv2d_forward;aten::adaptive_avg_pool2d;aten::addmm;aten::as_strided;aten::as_strided_;aten::avg_pool2d;aten::batch_norm;aten::cat;aten::conv2d;aten::convolution;aten::copy_;aten::detach;aten::dropout;aten::elu;aten::empty;aten::empty_like;aten::expand;aten::flatten;aten::layer_norm;aten::linear;aten::mkldnn_convolution;aten::native_batch_norm;aten::native_layer_norm;aten::resize_;aten::resolve_conj;aten::t;aten::thnn_conv2d;aten::transpose;aten::unsqueeze;aten::view;closure::module_convolution
