model,task,subject_id,session1_mean_BA,session2_mean_BA,session3_mean_BA_if_applicable,worst_session,WS_BA_subject
TeCh,OpenBMI_SSVEP,42,0.9620000000000002,0.514,,S2,0.514
TeCh,OpenBMI_SSVEP,51,0.48333333333333334,0.6393333333333333,,S1,0.48333333333333334
TeCh,OpenBMI_SSVEP,54,0.5526666666666666,0.5686666666666667,,S1,0.5526666666666666
TeCh,WBCIC_MI,sub-4,0.5363333333333333,0.5473333333333333,0.6416666666666667,S1,0.5363333333333333
TeCh,WBCIC_MI,sub-8,0.8273333333333334,0.8696666666666667,0.8733333333333333,S1,0.8273333333333334
TeCh,WBCIC_MI,sub-10,0.5910000000000001,0.6533333333333334,0.7803333333333334,S1,0.5910000000000001
TeCh,WBCIC_MI,sub-15,0.7303333333333332,0.7003333333333333,0.6866666666666666,S3,0.6866666666666666
TeCh,WBCIC_MI,sub-20,0.8583333333333333,0.8353333333333334,0.5063333333333334,S3,0.5063333333333334
TeCh,WBCIC_MI,sub-39,0.4813333333333333,0.7273333333333336,0.7766666666666666,S1,0.4813333333333333
TeCh,WBCIC_MI,sub-40,0.7633333333333333,0.6769999999999999,0.7390000000000001,S2,0.6769999999999999
TeCh,WBCIC_MI,sub-43,0.9373333333333334,0.9113333333333334,0.87,S3,0.87
TeCh,WBCIC_MI,sub-46,0.9209999999999998,0.8629999999999999,0.8033333333333333,S3,0.8033333333333333
TeCh,WBCIC_MI,sub-51,0.6693333333333334,0.744,0.7593333333333334,S1,0.6693333333333334
ModernTCN,OpenBMI_MI,4,0.5033333333333334,0.6666666666666665,,S1,0.5033333333333334
ModernTCN,OpenBMI_MI,12,0.654,0.6413333333333333,,S2,0.6413333333333333
ModernTCN,OpenBMI_MI,13,0.6026666666666667,0.6393333333333332,,S1,0.6026666666666667
ModernTCN,OpenBMI_MI,17,0.5666666666666668,0.5066666666666667,,S2,0.5066666666666667
ModernTCN,OpenBMI_MI,18,0.5386666666666666,0.5660000000000001,,S1,0.5386666666666666
ModernTCN,OpenBMI_MI,24,0.5840000000000001,0.5326666666666667,,S2,0.5326666666666667
ModernTCN,OpenBMI_MI,25,0.714,0.9419999999999998,,S1,0.714
ModernTCN,OpenBMI_MI,29,0.6193333333333334,0.6020000000000002,,S2,0.6020000000000002
ModernTCN,OpenBMI_MI,36,0.6833333333333332,0.7586666666666666,,S1,0.6833333333333332
ModernTCN,OpenBMI_MI,37,0.5713333333333334,0.606,,S1,0.5713333333333334
ModernTCN,OpenBMI_MI,39,0.6726666666666666,0.5553333333333333,,S2,0.5553333333333333
ModernTCN,OpenBMI_MI,42,0.5626666666666666,0.5780000000000001,,S1,0.5626666666666666
ModernTCN,OpenBMI_MI,51,0.6213333333333332,0.5013333333333334,,S2,0.5013333333333334
ModernTCN,OpenBMI_MI,54,0.6039999999999999,0.5413333333333333,,S2,0.5413333333333333
ModernTCN,OpenBMI_ERP,4,0.7486464646464647,0.8782222222222222,,S1,0.7486464646464647
ModernTCN,OpenBMI_ERP,12,0.9287878787878786,0.9390101010101011,,S1,0.9287878787878786
ModernTCN,OpenBMI_ERP,13,0.89389898989899,0.8981616161616162,,S1,0.89389898989899
ModernTCN,OpenBMI_ERP,17,0.7492727272727272,0.7276161616161615,,S2,0.7276161616161615
ModernTCN,OpenBMI_ERP,18,0.6950417455329524,0.8510303030303031,,S1,0.6950417455329524
ModernTCN,OpenBMI_ERP,24,0.9154545454545455,0.810868686868687,,S2,0.810868686868687
ModernTCN,OpenBMI_ERP,25,0.7143636363636364,0.7205454545454545,,S1,0.7143636363636364
ModernTCN,OpenBMI_ERP,29,0.7178585858585859,0.7756363636363637,,S1,0.7178585858585859
ModernTCN,OpenBMI_ERP,36,0.9193535353535354,0.9232323232323232,,S1,0.9193535353535354
ModernTCN,OpenBMI_ERP,37,0.8313131313131313,0.9078585858585858,,S1,0.8313131313131313
ModernTCN,OpenBMI_ERP,39,0.8030101010101008,0.6567676767676768,,S2,0.6567676767676768
ModernTCN,OpenBMI_ERP,42,0.8531313131313131,0.7771717171717172,,S2,0.7771717171717172
ModernTCN,OpenBMI_ERP,51,0.7883434343434345,0.6615959595959595,,S2,0.6615959595959595
ModernTCN,OpenBMI_ERP,54,0.6617575757575758,0.6463434343434342,,S2,0.6463434343434342
ModernTCN,OpenBMI_SSVEP,4,0.9826666666666668,1.0,,S1,0.9826666666666668
