task,fold,subject_id,method,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256
WBCIC_MI,2,sub-34,LiteBN_XNG,0.525,0.513307205614898,0.525,200,35d76b4fe63688eda6bf1150715ca9b0d8e5f967adde0affa880e7bd814ba4a5,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
WBCIC_MI,2,sub-50,LiteBN_XNG,0.94,0.93999399939994,0.94,200,35d76b4fe63688eda6bf1150715ca9b0d8e5f967adde0affa880e7bd814ba4a5,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
WBCIC_MI,3,sub-11,LiteBN_XNG,0.67,0.6643271284711627,0.67,200,a43e39827a9c1c1436e19bd5f6c0c7fb2af4b75a7f4d49e03dea81fca4220e47,23765060e5268b3e9d17ac8856fddf0ebee518e507202d3f625e821bc4aa0035
WBCIC_MI,3,sub-13,LiteBN_XNG,0.885,0.8849741191768148,0.885,200,a43e39827a9c1c1436e19bd5f6c0c7fb2af4b75a7f4d49e03dea81fca4220e47,23765060e5268b3e9d17ac8856fddf0ebee518e507202d3f625e821bc4aa0035
WBCIC_MI,3,sub-24,LiteBN_XNG,0.9335542929292929,0.9333333333333333,0.9333333333333333,195,a43e39827a9c1c1436e19bd5f6c0c7fb2af4b75a7f4d49e03dea81fca4220e47,23765060e5268b3e9d17ac8856fddf0ebee518e507202d3f625e821bc4aa0035
WBCIC_MI,3,sub-26,LiteBN_XNG,0.65,0.6457131288591963,0.65,200,a43e39827a9c1c1436e19bd5f6c0c7fb2af4b75a7f4d49e03dea81fca4220e47,23765060e5268b3e9d17ac8856fddf0ebee518e507202d3f625e821bc4aa0035
WBCIC_MI,3,sub-29,LiteBN_XNG,0.88,0.8798919027124412,0.88,200,a43e39827a9c1c1436e19bd5f6c0c7fb2af4b75a7f4d49e03dea81fca4220e47,23765060e5268b3e9d17ac8856fddf0ebee518e507202d3f625e821bc4aa0035
WBCIC_MI,3,sub-47,LiteBN_XNG,0.8300000000000001,0.8286117552172598,0.83,200,a43e39827a9c1c1436e19bd5f6c0c7fb2af4b75a7f4d49e03dea81fca4220e47,23765060e5268b3e9d17ac8856fddf0ebee518e507202d3f625e821bc4aa0035
WBCIC_MI,4,sub-16,LiteBN_XNG,0.5700000000000001,0.5538956323270048,0.57,200,9beb277bbd23e59b5badb8c9b42942aebd1fb9f2aefe807657b0c161dff775a4,0e862b1cae5aa096f18b8e895fd881156c2b6b7c2f2d2f0b89e97815b1ab0a0e
WBCIC_MI,4,sub-27,LiteBN_XNG,0.62,0.6153456827614131,0.62,200,9beb277bbd23e59b5badb8c9b42942aebd1fb9f2aefe807657b0c161dff775a4,0e862b1cae5aa096f18b8e895fd881156c2b6b7c2f2d2f0b89e97815b1ab0a0e
WBCIC_MI,4,sub-36,LiteBN_XNG,0.97,0.96999699969997,0.97,200,9beb277bbd23e59b5badb8c9b42942aebd1fb9f2aefe807657b0c161dff775a4,0e862b1cae5aa096f18b8e895fd881156c2b6b7c2f2d2f0b89e97815b1ab0a0e
WBCIC_MI,4,sub-41,LiteBN_XNG,0.865,0.8649155722326454,0.865,200,9beb277bbd23e59b5badb8c9b42942aebd1fb9f2aefe807657b0c161dff775a4,0e862b1cae5aa096f18b8e895fd881156c2b6b7c2f2d2f0b89e97815b1ab0a0e
WBCIC_MI,4,sub-48,LiteBN_XNG,0.825,0.8247853620685339,0.825,200,9beb277bbd23e59b5badb8c9b42942aebd1fb9f2aefe807657b0c161dff775a4,0e862b1cae5aa096f18b8e895fd881156c2b6b7c2f2d2f0b89e97815b1ab0a0e
WBCIC_MI,4,sub-5,LiteBN_XNG,0.785,0.7849516141131755,0.785,200,9beb277bbd23e59b5badb8c9b42942aebd1fb9f2aefe807657b0c161dff775a4,0e862b1cae5aa096f18b8e895fd881156c2b6b7c2f2d2f0b89e97815b1ab0a0e
