dataset,fold,seed,subject_id,canonical_BA,cde_BA,delta_BA,delta_pp,cde_alpha_inv,cde_alpha_geo
OpenBMI,3,0,27,0.9299999999999999,0.9299999999999999,0.0,0.0,0.0,0.0
OpenBMI,3,0,28,0.94,0.94,0.0,0.0,0.0,0.0
OpenBMI,3,0,38,0.77,0.77,0.0,0.0,0.0,0.0
OpenBMI,3,0,41,0.8200000000000001,0.8200000000000001,0.0,0.0,0.0,0.0
OpenBMI,3,0,46,0.78,0.78,0.0,0.0,0.0,0.0
OpenBMI,3,0,9,0.77,0.77,0.0,0.0,0.0,0.0
OpenBMI,4,0,11,0.78,0.78,0.0,0.0,0.0,0.0
OpenBMI,4,0,12,0.78,0.78,0.0,0.0,0.0,0.0
OpenBMI,4,0,23,0.73,0.73,0.0,0.0,0.0,0.0
OpenBMI,4,0,3,0.94,0.94,0.0,0.0,0.0,0.0
OpenBMI,4,0,30,0.8300000000000001,0.8300000000000001,0.0,0.0,0.0,0.0
OpenBMI,4,0,31,0.9299999999999999,0.9299999999999999,0.0,0.0,0.0,0.0
OpenBMI,4,0,37,0.9199999999999999,0.9199999999999999,0.0,0.0,0.0,0.0
OpenBMI,4,0,39,0.81,0.81,0.0,0.0,0.0,0.0
OpenBMI,4,0,49,0.85,0.85,0.0,0.0,0.0,0.0
OpenBMI,4,0,8,0.84,0.84,0.0,0.0,0.0,0.0
WBCIC,0,0,1,0.905,0.905,0.0,0.0,0.0,0.0
WBCIC,0,0,16,0.515,0.515,0.0,0.0,0.0,0.0
WBCIC,0,0,19,0.94,0.94,0.0,0.0,0.0,0.0
WBCIC,0,0,21,0.835,0.835,0.0,0.0,0.0,0.0
WBCIC,0,0,28,0.6399999999999999,0.6399999999999999,0.0,0.0,0.0,0.0
WBCIC,0,0,3,0.855,0.855,0.0,0.0,0.0,0.0
WBCIC,0,0,33,0.95,0.95,0.0,0.0,0.0,0.0
WBCIC,0,0,37,0.8200000000000001,0.8200000000000001,0.0,0.0,0.0,0.0
WBCIC,0,0,5,0.745,0.745,0.0,0.0,0.0,0.0
WBCIC,1,0,11,0.6499999999999999,0.6499999999999999,0.0,0.0,0.0,0.0
WBCIC,1,0,13,0.81,0.81,0.0,0.0,0.0,0.0
WBCIC,1,0,18,0.655,0.655,0.0,0.0,0.0,0.0
WBCIC,1,0,2,0.765,0.765,0.0,0.0,0.0,0.0
WBCIC,1,0,27,0.58,0.58,0.0,0.0,0.0,0.0
WBCIC,1,0,36,0.98,0.98,0.0,0.0,0.0,0.0
WBCIC,1,0,44,0.79,0.79,0.0,0.0,0.0,0.0
WBCIC,1,0,45,0.94,0.94,0.0,0.0,0.0,0.0
WBCIC,2,0,22,0.7250000000000001,0.7250000000000001,0.0,0.0,0.0,0.0
WBCIC,2,0,25,0.995,0.995,0.0,0.0,0.0,0.0
WBCIC,2,0,26,0.675,0.675,0.0,0.0,0.0,0.0
WBCIC,2,0,29,0.885,0.885,0.0,0.0,0.0,0.0
WBCIC,2,0,34,0.565,0.565,0.0,0.0,0.0,0.0
WBCIC,2,0,35,0.935,0.935,0.0,0.0,0.0,0.0
WBCIC,2,0,49,0.91,0.91,0.0,0.0,0.0,0.0
WBCIC,2,0,9,0.605,0.605,0.0,0.0,0.0,0.0
WBCIC,3,0,23,0.965,0.965,0.0,0.0,0.0,0.0
WBCIC,3,0,24,0.9332386363636365,0.9332386363636365,0.0,0.0,0.0,0.0
WBCIC,3,0,30,0.855,0.855,0.0,0.0,0.0,0.0
WBCIC,3,0,31,0.545,0.545,0.0,0.0,0.0,0.0
WBCIC,3,0,38,0.515,0.515,0.0,0.0,0.0,0.0
WBCIC,3,0,41,0.845,0.845,0.0,0.0,0.0,0.0
WBCIC,3,0,42,0.71,0.71,0.0,0.0,0.0,0.0
WBCIC,3,0,6,0.915,0.915,0.0,0.0,0.0,0.0
WBCIC,4,0,12,0.765,0.765,0.0,0.0,0.0,0.0
WBCIC,4,0,14,0.585,0.585,0.0,0.0,0.0,0.0
WBCIC,4,0,17,0.835,0.835,0.0,0.0,0.0,0.0
WBCIC,4,0,32,0.615,0.615,0.0,0.0,0.0,0.0
WBCIC,4,0,47,0.9299999999999999,0.9299999999999999,0.0,0.0,0.0,0.0
WBCIC,4,0,48,0.79,0.79,0.0,0.0,0.0,0.0
WBCIC,4,0,50,0.9450000000000001,0.9450000000000001,0.0,0.0,0.0,0.0
WBCIC,4,0,7,0.8200000000000001,0.8200000000000001,0.0,0.0,0.0,0.0
