benchmark,outer_fold,method_id,configuration,discovery_BA,discovery_NLL,candidate_count,OUTER_TEST_USED,candidate_order
OpenBMI_MI_S1_to_S2,2,B_HISTORY_FUSION_LDA,"{'shrinkage': 0.3, 'target_weight': 0.4}",0.7744444444444445,0.5310971824625375,30,False,11.0
OpenBMI_MI_S1_to_S2,3,B_POPULATION_LINEAR,{'C': 0.001},0.8066666666666666,0.4283322647186978,10,False,
OpenBMI_MI_S1_to_S2,3,B_SUBJECT_LAST_LAYER,{'C': 0.0003},0.8144444444444444,0.6265116017406149,10,False,0.0
OpenBMI_MI_S1_to_S2,3,B_SUBJECT_SHRINKAGE_LDA,{'shrinkage': 0.9},0.7788888888888889,1.594884647263421,6,False,5.0
OpenBMI_MI_S1_to_S2,3,B_HISTORY_CALIBRATED,{'C': 0.1},0.82,0.42311966088699765,5,False,1.0
OpenBMI_MI_S1_to_S2,3,B_SUPERVISED_COSINE_PROTO,{'temperature': 8.0},0.8,0.44324768386065533,6,False,4.0
OpenBMI_MI_S1_to_S2,3,B_SHRINKAGE_PROTO,"{'target_weight': 0.5, 'temperature': 0.5}",0.8188888888888888,1.30324785981589,16,False,4.0
OpenBMI_MI_S1_to_S2,3,B_HISTORY_FUSION_LOGISTIC,"{'C': 3.0, 'target_weight': 0.2}",0.8155555555555556,0.4158029931389487,50,False,40.0
OpenBMI_MI_S1_to_S2,3,B_HISTORY_FUSION_LDA,"{'shrinkage': 0.7, 'target_weight': 0.2}",0.8133333333333334,0.4232277879608911,30,False,20.0
OpenBMI_MI_S1_to_S2,4,B_POPULATION_LINEAR,{'C': 0.003},0.7677777777777778,0.537788035969267,10,False,
OpenBMI_MI_S1_to_S2,4,B_SUBJECT_LAST_LAYER,{'C': 0.03},0.7788888888888889,0.47096021652885445,10,False,4.0
OpenBMI_MI_S1_to_S2,4,B_SUBJECT_SHRINKAGE_LDA,{'shrinkage': 0.9},0.7755555555555556,1.3782471782631345,6,False,5.0
OpenBMI_MI_S1_to_S2,4,B_HISTORY_CALIBRATED,{'C': 0.1},0.7866666666666666,0.4812159989555116,5,False,1.0
OpenBMI_MI_S1_to_S2,4,B_SUPERVISED_COSINE_PROTO,{'temperature': 8.0},0.7488888888888888,0.5013364440382987,6,False,4.0
OpenBMI_MI_S1_to_S2,4,B_SHRINKAGE_PROTO,"{'target_weight': 0.5, 'temperature': 0.5}",0.7755555555555556,1.4425253468193842,16,False,4.0
OpenBMI_MI_S1_to_S2,4,B_HISTORY_FUSION_LOGISTIC,"{'C': 0.1, 'target_weight': 0.8}",0.7977777777777777,0.46251576685329177,50,False,28.0
OpenBMI_MI_S1_to_S2,4,B_HISTORY_FUSION_LDA,"{'shrinkage': 0.9, 'target_weight': 0.2}",0.791111111111111,0.5529076357187805,30,False,25.0
