benchmark,method_id,subject_id,outer_fold,balanced_accuracy,accuracy,macro_f1,NLL,Brier,ECE,OUTER_TEST_USED,reference_method_id,reference_BA,delta_BA
OpenBMI_MI_S1_to_S2,A_GENERIC_BILINEAR,19,0,0.8500000000000001,0.85,0.849624060150376,0.34646371136293574,0.10933971562716356,0.11596135958615272,False,B_HISTORY_FUSION_LDA,0.8,0.050000000000000044
OpenBMI_MI_S1_to_S2,A_GENERIC_BILINEAR,2,0,0.72,0.72,0.7028862478777589,0.6086876630910252,0.20353388997001182,0.1817503427061719,False,B_HISTORY_FUSION_LDA,0.69,0.030000000000000027
OpenBMI_MI_S1_to_S2,A_GENERIC_BILINEAR,20,3,0.8200000000000001,0.82,0.8199279711884754,0.3818465594356793,0.1194988109759343,0.08963745885734094,False,B_HISTORY_FUSION_LDA,0.8,0.020000000000000018
OpenBMI_MI_S1_to_S2,A_GENERIC_BILINEAR,21,3,0.99,0.99,0.9899989998999901,0.02485391686917273,0.006061488301094229,0.01944216981455907,False,B_HISTORY_FUSION_LDA,1.0,-0.010000000000000009
OpenBMI_MI_S1_to_S2,A_GENERIC_BILINEAR,22,2,0.72,0.72,0.7144022847817217,0.5700489632099813,0.1923994579334722,0.10954583503305915,False,B_HISTORY_FUSION_LDA,0.6799999999999999,0.040000000000000036
OpenBMI_MI_S1_to_S2,A_GENERIC_BILINEAR,23,4,0.74,0.74,0.7241086587436333,0.6785919522429508,0.21122773525913124,0.22731183367781338,False,B_HISTORY_FUSION_LDA,0.81,-0.07000000000000006
OpenBMI_MI_S1_to_S2,A_GENERIC_BILINEAR,24,3,0.51,0.51,0.45011783189316573,0.9590493310012964,0.3215401206488216,0.30017837464456953,False,B_HISTORY_FUSION_LDA,0.55,-0.040000000000000036
OpenBMI_MI_S1_to_S2,A_GENERIC_BILINEAR,25,1,0.99,0.99,0.9899989998999901,0.080478562248885,0.013519573108669915,0.06979217510670421,False,B_HISTORY_FUSION_LDA,1.0,-0.010000000000000009
OpenBMI_MI_S1_to_S2,A_GENERIC_BILINEAR,26,2,0.8,0.8,0.7992773986350863,0.44966634075037704,0.140696546441627,0.07139703810214995,False,B_HISTORY_FUSION_LDA,0.86,-0.05999999999999994
OpenBMI_MI_S1_to_S2,A_GENERIC_BILINEAR,27,3,0.89,0.89,0.8891017239641092,0.3281602903668173,0.09784084493396451,0.17018894772859106,False,B_HISTORY_FUSION_LDA,0.86,0.030000000000000027
OpenBMI_MI_S1_to_S2,A_GENERIC_BILINEAR,28,3,0.96,0.96,0.9599358974358975,0.140468463175573,0.031790117721419035,0.10862268537540658,False,B_HISTORY_FUSION_LDA,0.97,-0.010000000000000009
