benchmark,outer_fold,dimension,protected_importance,random_control_importance,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,0,122,0.0,0.0,False
OpenBMI_MI_S1_to_S2,0,123,0.8667474258025439,0.49121744397334954,False
OpenBMI_MI_S1_to_S2,0,124,0.35796486977589337,0.0,False
OpenBMI_MI_S1_to_S2,0,125,0.0,0.33373712901271957,False
OpenBMI_MI_S1_to_S2,0,126,0.030890369473046686,0.9878861296184132,False
OpenBMI_MI_S1_to_S2,0,127,0.0,0.18837068443367658,False
OpenBMI_MI_S1_to_S2,1,0,0.47910357359176264,0.04300423985463358,False
OpenBMI_MI_S1_to_S2,1,1,0.05511811023622047,0.0,False
OpenBMI_MI_S1_to_S2,1,2,0.0,0.41853422168382803,False
OpenBMI_MI_S1_to_S2,1,3,0.0,0.0,False
OpenBMI_MI_S1_to_S2,1,4,0.709267110841914,0.0,False
OpenBMI_MI_S1_to_S2,1,5,0.38219261053906733,0.4427619624470018,False
OpenBMI_MI_S1_to_S2,1,6,0.7213809812235009,0.0,False
OpenBMI_MI_S1_to_S2,1,7,0.5033313143549365,0.0,False
OpenBMI_MI_S1_to_S2,1,8,0.9515445184736523,0.2731677771047849,False
OpenBMI_MI_S1_to_S2,1,9,0.6729254996971533,0.49121744397334954,False
OpenBMI_MI_S1_to_S2,1,10,0.13991520290732892,0.0,False
OpenBMI_MI_S1_to_S2,1,11,0.22471229557843736,0.84251968503937,False
OpenBMI_MI_S1_to_S2,1,12,0.0,0.0,False
OpenBMI_MI_S1_to_S2,1,13,0.0,0.0,False
OpenBMI_MI_S1_to_S2,1,14,0.0,0.7456087219866747,False
OpenBMI_MI_S1_to_S2,1,15,0.6608116293155663,0.5033313143549365,False
OpenBMI_MI_S1_to_S2,1,16,0.21259842519685046,0.6608116293155663,False
OpenBMI_MI_S1_to_S2,1,17,0.0,0.16414294367050278,False
OpenBMI_MI_S1_to_S2,1,18,0.23682616596002423,0.0,False
OpenBMI_MI_S1_to_S2,1,19,0.24894003634161113,0.5154451847365233,False
OpenBMI_MI_S1_to_S2,1,20,0.09145972138098124,0.09145972138098124,False
OpenBMI_MI_S1_to_S2,1,21,0.2731677771047849,0.0,False
OpenBMI_MI_S1_to_S2,1,22,0.11568746214415512,0.7698364627498486,False
OpenBMI_MI_S1_to_S2,1,23,0.5275590551181102,0.0,False
OpenBMI_MI_S1_to_S2,1,24,0.18837068443367658,0.0,False
OpenBMI_MI_S1_to_S2,1,25,0.0,0.0,False
OpenBMI_MI_S1_to_S2,1,26,0.0,0.23682616596002423,False
OpenBMI_MI_S1_to_S2,1,27,0.9030890369473047,0.0,False
OpenBMI_MI_S1_to_S2,1,28,0.37007874015748027,0.0,False
OpenBMI_MI_S1_to_S2,1,29,0.0,0.9394306480920653,False
OpenBMI_MI_S1_to_S2,1,30,0.43064809206541493,0.4548758328285887,False
OpenBMI_MI_S1_to_S2,1,31,0.40642035130224113,0.0,False
OpenBMI_MI_S1_to_S2,1,32,0.0,0.13991520290732892,False
OpenBMI_MI_S1_to_S2,1,33,0.7456087219866747,0.5639006662628709,False
OpenBMI_MI_S1_to_S2,1,34,0.0,0.0,False
OpenBMI_MI_S1_to_S2,1,35,0.6486977589339794,0.8667474258025439,False
OpenBMI_MI_S1_to_S2,1,36,0.28528164748637197,0.47910357359176264,False
OpenBMI_MI_S1_to_S2,1,37,0.9757722592368262,0.38219261053906733,False
OpenBMI_MI_S1_to_S2,1,38,0.6850393700787402,0.10357359176256814,False
OpenBMI_MI_S1_to_S2,1,39,0.01877649909145979,0.0,False
OpenBMI_MI_S1_to_S2,1,40,0.5881284070260449,0.43064809206541493,False
OpenBMI_MI_S1_to_S2,1,41,0.04300423985463358,0.21259842519685046,False
OpenBMI_MI_S1_to_S2,1,42,0.0,0.0,False
OpenBMI_MI_S1_to_S2,1,43,0.0,0.18837068443367658,False
OpenBMI_MI_S1_to_S2,1,44,0.6123561477892187,0.4669897032101756,False
OpenBMI_MI_S1_to_S2,1,45,0.8182919442761962,0.9273167777104785,False
OpenBMI_MI_S1_to_S2,1,46,0.6365838885523925,0.9636583888552394,False
OpenBMI_MI_S1_to_S2,1,47,0.0,0.17625681405208968,False
OpenBMI_MI_S1_to_S2,1,48,0.0,0.0,False
OpenBMI_MI_S1_to_S2,1,49,0.8667474258025439,0.30950938824954577,False
OpenBMI_MI_S1_to_S2,1,50,0.9394306480920653,0.32162325863113267,False
OpenBMI_MI_S1_to_S2,1,51,0.4669897032101756,0.0,False
OpenBMI_MI_S1_to_S2,1,52,0.06723198061780745,0.0,False
OpenBMI_MI_S1_to_S2,1,53,0.5154451847365233,0.8061780738946094,False
OpenBMI_MI_S1_to_S2,1,54,0.0,0.6850393700787402,False
OpenBMI_MI_S1_to_S2,1,55,0.0,0.05511811023622047,False
OpenBMI_MI_S1_to_S2,1,56,0.0,0.8304058146577832,False
OpenBMI_MI_S1_to_S2,1,57,0.030890369473046686,0.9515445184736523,False
OpenBMI_MI_S1_to_S2,1,58,0.32162325863113267,0.9757722592368262,False
OpenBMI_MI_S1_to_S2,1,59,0.006662628709872809,0.6123561477892187,False
OpenBMI_MI_S1_to_S2,1,60,0.34585099939430647,0.5881284070260449,False
OpenBMI_MI_S1_to_S2,1,61,0.0,0.12780133252574202,False
OpenBMI_MI_S1_to_S2,1,62,0.0,0.0,False
OpenBMI_MI_S1_to_S2,1,63,0.8909751665657177,0.7940642035130224,False
OpenBMI_MI_S1_to_S2,1,64,0.9273167777104785,0.0,False
OpenBMI_MI_S1_to_S2,1,65,0.9152029073288915,0.7577225923682616,False
OpenBMI_MI_S1_to_S2,1,66,0.29739551786795887,0.0,False
OpenBMI_MI_S1_to_S2,1,67,0.7698364627498486,0.01877649909145979,False
OpenBMI_MI_S1_to_S2,1,68,0.7940642035130224,0.29739551786795887,False
OpenBMI_MI_S1_to_S2,1,69,0.0,0.0,False
OpenBMI_MI_S1_to_S2,1,70,0.8304058146577832,0.37007874015748027,False
OpenBMI_MI_S1_to_S2,1,71,0.8546335554209569,0.0,False
OpenBMI_MI_S1_to_S2,1,72,0.0,0.06723198061780745,False
OpenBMI_MI_S1_to_S2,1,73,0.0,0.6002422774076318,False
OpenBMI_MI_S1_to_S2,1,74,0.8788612961841309,0.0,False
OpenBMI_MI_S1_to_S2,1,75,0.26105390672319806,0.0,False
OpenBMI_MI_S1_to_S2,1,76,0.33373712901271957,0.34585099939430647,False
OpenBMI_MI_S1_to_S2,1,77,0.0,0.1520290732889158,False
OpenBMI_MI_S1_to_S2,1,78,0.4427619624470018,0.0,False
OpenBMI_MI_S1_to_S2,1,79,0.576014536644458,0.551786795881284,False
OpenBMI_MI_S1_to_S2,1,80,0.35796486977589337,0.39430648092065423,False
OpenBMI_MI_S1_to_S2,1,81,0.7577225923682616,0.7213809812235009,False
OpenBMI_MI_S1_to_S2,1,82,0.0,0.28528164748637197,False
OpenBMI_MI_S1_to_S2,1,83,0.5639006662628709,0.20048455481526348,False
OpenBMI_MI_S1_to_S2,1,84,0.84251968503937,0.0,False
OpenBMI_MI_S1_to_S2,1,85,0.9636583888552394,0.0,False
OpenBMI_MI_S1_to_S2,1,86,0.0,0.26105390672319806,False
OpenBMI_MI_S1_to_S2,1,87,0.41853422168382803,0.07934585099939435,False
OpenBMI_MI_S1_to_S2,1,88,0.0,0.9030890369473047,False
OpenBMI_MI_S1_to_S2,1,89,0.0,0.0,False
OpenBMI_MI_S1_to_S2,1,90,0.20048455481526348,0.0,False
OpenBMI_MI_S1_to_S2,1,91,0.4548758328285887,0.006662628709872809,False
OpenBMI_MI_S1_to_S2,1,92,0.0,0.030890369473046686,False
OpenBMI_MI_S1_to_S2,1,93,0.49121744397334954,0.0,False
OpenBMI_MI_S1_to_S2,1,94,0.7819503331314356,0.5275590551181102,False
OpenBMI_MI_S1_to_S2,1,95,0.0,0.0,False
OpenBMI_MI_S1_to_S2,1,96,0.39430648092065423,0.11568746214415512,False
OpenBMI_MI_S1_to_S2,1,97,0.0,0.0,False
OpenBMI_MI_S1_to_S2,1,98,0.0,0.6365838885523925,False
