dataset,subject,method,base_correct_new_correct,base_correct_new_wrong,base_wrong_new_correct,base_wrong_new_wrong,fix_rate,break_rate,net_correction
OpenBMI,47,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,93,0,0,7,0.0,0.0,0.0
OpenBMI,50,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,58,0,0,42,0.0,0.0,0.0
OpenBMI,53,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,80,0,0,20,0.0,0.0,0.0
WBCIC,1,GENERIC_RESIDUAL,186,0,0,14,0.0,0.0,0.0
WBCIC,16,GENERIC_RESIDUAL,106,0,0,94,0.0,0.0,0.0
WBCIC,19,GENERIC_RESIDUAL,192,0,0,8,0.0,0.0,0.0
WBCIC,21,GENERIC_RESIDUAL,166,0,0,34,0.0,0.0,0.0
WBCIC,28,GENERIC_RESIDUAL,119,0,0,81,0.0,0.0,0.0
WBCIC,3,GENERIC_RESIDUAL,170,0,0,30,0.0,0.0,0.0
WBCIC,33,GENERIC_RESIDUAL,187,0,0,13,0.0,0.0,0.0
WBCIC,37,GENERIC_RESIDUAL,167,0,0,33,0.0,0.0,0.0
WBCIC,5,GENERIC_RESIDUAL,152,0,0,48,0.0,0.0,0.0
WBCIC,1,GENERIC_PROTOTYPE_RESIDUAL,186,0,0,14,0.0,0.0,0.0
WBCIC,16,GENERIC_PROTOTYPE_RESIDUAL,106,0,1,93,0.005,0.0,0.005
WBCIC,19,GENERIC_PROTOTYPE_RESIDUAL,192,0,0,8,0.0,0.0,0.0
WBCIC,21,GENERIC_PROTOTYPE_RESIDUAL,166,0,0,34,0.0,0.0,0.0
WBCIC,28,GENERIC_PROTOTYPE_RESIDUAL,119,0,0,81,0.0,0.0,0.0
WBCIC,3,GENERIC_PROTOTYPE_RESIDUAL,170,0,0,30,0.0,0.0,0.0
WBCIC,33,GENERIC_PROTOTYPE_RESIDUAL,187,0,0,13,0.0,0.0,0.0
WBCIC,37,GENERIC_PROTOTYPE_RESIDUAL,167,0,0,33,0.0,0.0,0.0
WBCIC,5,GENERIC_PROTOTYPE_RESIDUAL,152,0,0,48,0.0,0.0,0.0
WBCIC,1,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,186,0,0,14,0.0,0.0,0.0
WBCIC,16,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,103,3,2,92,0.01,0.015,-0.004999999999999999
WBCIC,19,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,192,0,0,8,0.0,0.0,0.0
WBCIC,21,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,166,0,0,34,0.0,0.0,0.0
WBCIC,28,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,119,0,2,79,0.01,0.0,0.01
WBCIC,3,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,170,0,0,30,0.0,0.0,0.0
WBCIC,33,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,187,0,0,13,0.0,0.0,0.0
WBCIC,37,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,167,0,0,33,0.0,0.0,0.0
WBCIC,5,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,152,0,0,48,0.0,0.0,0.0
