fold,subject,method,draw,decision_response_drift
2.0,sub-34,RandomGuard,mean,0.40668135850443526
2.0,sub-35,Frozen,0,0.0
2.0,sub-35,Generic,0,0.3896603622754247
2.0,sub-35,IdentityGuard,0,0.38998107981745384
2.0,sub-35,PCAGuard,0,0.42439493551564983
2.0,sub-35,PERSISTGuard,0,0.44722639918599294
2.0,sub-35,PersistenceGuard,0,0.3678274425678162
2.0,sub-35,RandomGuard,mean,0.40668135850443526
2.0,sub-49,Frozen,0,0.0
2.0,sub-49,Generic,0,0.3896603622754247
2.0,sub-49,IdentityGuard,0,0.38998107981745384
2.0,sub-49,PCAGuard,0,0.42439493551564983
2.0,sub-49,PERSISTGuard,0,0.44722639918599294
2.0,sub-49,PersistenceGuard,0,0.3678274425678162
2.0,sub-49,RandomGuard,mean,0.40668135850443526
2.0,sub-9,Frozen,0,0.0
2.0,sub-9,Generic,0,0.3896603622754247
2.0,sub-9,IdentityGuard,0,0.38998107981745384
2.0,sub-9,PCAGuard,0,0.42439493551564983
2.0,sub-9,PERSISTGuard,0,0.44722639918599294
2.0,sub-9,PersistenceGuard,0,0.3678274425678162
2.0,sub-9,RandomGuard,mean,0.40668135850443526
3.0,sub-23,Frozen,0,0.0
3.0,sub-23,Generic,0,0.4502798167559396
3.0,sub-23,IdentityGuard,0,0.4308460817625738
3.0,sub-23,PCAGuard,0,0.4686144274608991
3.0,sub-23,PERSISTGuard,0,0.4518501857840735
3.0,sub-23,PersistenceGuard,0,0.4618713842424502
3.0,sub-23,RandomGuard,mean,0.4503656489538763
3.0,sub-24,Frozen,0,0.0
3.0,sub-24,Generic,0,0.4502798167559396
3.0,sub-24,IdentityGuard,0,0.4308460817625738
3.0,sub-24,PCAGuard,0,0.4686144274608991
3.0,sub-24,PERSISTGuard,0,0.4518501857840735
3.0,sub-24,PersistenceGuard,0,0.4618713842424502
3.0,sub-24,RandomGuard,mean,0.4503656489538763
3.0,sub-30,Frozen,0,0.0
3.0,sub-30,Generic,0,0.4502798167559396
3.0,sub-30,IdentityGuard,0,0.4308460817625738
3.0,sub-30,PCAGuard,0,0.4686144274608991
3.0,sub-30,PERSISTGuard,0,0.4518501857840735
3.0,sub-30,PersistenceGuard,0,0.4618713842424502
3.0,sub-30,RandomGuard,mean,0.4503656489538763
3.0,sub-31,Frozen,0,0.0
3.0,sub-31,Generic,0,0.4502798167559396
3.0,sub-31,IdentityGuard,0,0.4308460817625738
3.0,sub-31,PCAGuard,0,0.4686144274608991
3.0,sub-31,PERSISTGuard,0,0.4518501857840735
3.0,sub-31,PersistenceGuard,0,0.4618713842424502
3.0,sub-31,RandomGuard,mean,0.4503656489538763
3.0,sub-38,Frozen,0,0.0
3.0,sub-38,Generic,0,0.4502798167559396
3.0,sub-38,IdentityGuard,0,0.4308460817625738
3.0,sub-38,PCAGuard,0,0.4686144274608991
3.0,sub-38,PERSISTGuard,0,0.4518501857840735
3.0,sub-38,PersistenceGuard,0,0.4618713842424502
3.0,sub-38,RandomGuard,mean,0.4503656489538763
3.0,sub-41,Frozen,0,0.0
3.0,sub-41,Generic,0,0.4502798167559396
3.0,sub-41,IdentityGuard,0,0.4308460817625738
3.0,sub-41,PCAGuard,0,0.4686144274608991
3.0,sub-41,PERSISTGuard,0,0.4518501857840735
3.0,sub-41,PersistenceGuard,0,0.4618713842424502
3.0,sub-41,RandomGuard,mean,0.4503656489538763
3.0,sub-42,Frozen,0,0.0
3.0,sub-42,Generic,0,0.4502798167559396
3.0,sub-42,IdentityGuard,0,0.4308460817625738
3.0,sub-42,PCAGuard,0,0.4686144274608991
3.0,sub-42,PERSISTGuard,0,0.4518501857840735
3.0,sub-42,PersistenceGuard,0,0.4618713842424502
3.0,sub-42,RandomGuard,mean,0.4503656489538763
3.0,sub-6,Frozen,0,0.0
3.0,sub-6,Generic,0,0.4502798167559396
3.0,sub-6,IdentityGuard,0,0.4308460817625738
3.0,sub-6,PCAGuard,0,0.4686144274608991
3.0,sub-6,PERSISTGuard,0,0.4518501857840735
3.0,sub-6,PersistenceGuard,0,0.4618713842424502
3.0,sub-6,RandomGuard,mean,0.4503656489538763
4.0,sub-12,Frozen,0,0.0
4.0,sub-12,Generic,0,0.15909699164887017
4.0,sub-12,IdentityGuard,0,0.11970765435327876
4.0,sub-12,PCAGuard,0,0.07985897077113492
4.0,sub-12,PERSISTGuard,0,0.1418668414583422
4.0,sub-12,PersistenceGuard,0,0.16565145520615507
4.0,sub-12,RandomGuard,mean,0.15933234881181718
4.0,sub-14,Frozen,0,0.0
4.0,sub-14,Generic,0,0.15909699164887017
4.0,sub-14,IdentityGuard,0,0.11970765435327876
4.0,sub-14,PCAGuard,0,0.07985897077113492
4.0,sub-14,PERSISTGuard,0,0.1418668414583422
4.0,sub-14,PersistenceGuard,0,0.16565145520615507
4.0,sub-14,RandomGuard,mean,0.15933234881181718
4.0,sub-17,Frozen,0,0.0
4.0,sub-17,Generic,0,0.15909699164887017
4.0,sub-17,IdentityGuard,0,0.11970765435327876
4.0,sub-17,PCAGuard,0,0.07985897077113492
4.0,sub-17,PERSISTGuard,0,0.1418668414583422
4.0,sub-17,PersistenceGuard,0,0.16565145520615507
4.0,sub-17,RandomGuard,mean,0.15933234881181718
4.0,sub-32,Frozen,0,0.0
4.0,sub-32,Generic,0,0.15909699164887017
4.0,sub-32,IdentityGuard,0,0.11970765435327876
4.0,sub-32,PCAGuard,0,0.07985897077113492
4.0,sub-32,PERSISTGuard,0,0.1418668414583422
