scope,task,dataset,fold,seed,subject_id,model,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,2,0,8,B0,0.8500000000000001,0.8492613807657522,0.85,100,36a06475f75712f3c00276cc8de5aab7552c5aa6c5ee94cd201f543692751814,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,2,0,8,W0R0,0.81,0.8090644156366193,0.81,100,b4e1fa6192427d64db8c66b1971c66992e21db2e9a4770092211ae1da18e95b3,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,3,0,10,B0,0.81,0.8095238095238095,0.81,100,2eb9b20d2f2ce7ba385fc296872935bf2ca5a1b5cc30e9f699d502dc25f1b256,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,3,0,10,W0R0,0.77,0.7699769976997699,0.77,100,1b87a4e92aac53955d293928a7556b9a80a363f4c33454b92d37bad464c4f351,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,3,0,16,B0,0.87,0.8699869986998701,0.87,100,2eb9b20d2f2ce7ba385fc296872935bf2ca5a1b5cc30e9f699d502dc25f1b256,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,3,0,16,W0R0,0.8999999999999999,0.8998397435897436,0.9,100,1b87a4e92aac53955d293928a7556b9a80a363f4c33454b92d37bad464c4f351,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,3,0,19,B0,0.78,0.7799119647859143,0.78,100,2eb9b20d2f2ce7ba385fc296872935bf2ca5a1b5cc30e9f699d502dc25f1b256,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,3,0,19,W0R0,0.78,0.7796474358974359,0.78,100,1b87a4e92aac53955d293928a7556b9a80a363f4c33454b92d37bad464c4f351,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,3,0,22,B0,0.7,0.6980676328502415,0.7,100,2eb9b20d2f2ce7ba385fc296872935bf2ca5a1b5cc30e9f699d502dc25f1b256,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
DEVELOPMENT_OUTER,OpenBMI_MI,OpenBMI,3,0,22,W0R0,0.68,0.6753246753246753,0.68,100,1b87a4e92aac53955d293928a7556b9a80a363f4c33454b92d37bad464c4f351,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5
