task,fold,baseline_checkpoint_sha256,normalizer_sha256,split_sha256,V1_V2_hash_match,new_trainable_parameters,model_state
OpenBMI_SSVEP,0,55b8f8500aaa58a88b28cf3eec42a4c3748f806e30c8e28850ba4601ee109f87,5ed87f71ae1fa3a51e5eb5df140aca6515d3ba9857c0e8056ad6b40dc41091b9,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,True,0,all parameters and BN buffers frozen
OpenBMI_SSVEP,1,bca5bb3f5549d4211dca2f25ef14b621797788aa35ce1bfef11765161c5c7713,5ed87f71ae1fa3a51e5eb5df140aca6515d3ba9857c0e8056ad6b40dc41091b9,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,True,0,all parameters and BN buffers frozen
OpenBMI_SSVEP,2,52cd045b98af2e78e7a39d7806b257b8becc8dc185dd900428aa141fc4f821e5,5ed87f71ae1fa3a51e5eb5df140aca6515d3ba9857c0e8056ad6b40dc41091b9,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,True,0,all parameters and BN buffers frozen
OpenBMI_SSVEP,3,2faccade8bf51c0f7f5c879d472afb65a70c46012f68cf967a0eaf440b5b03c4,5ed87f71ae1fa3a51e5eb5df140aca6515d3ba9857c0e8056ad6b40dc41091b9,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,True,0,all parameters and BN buffers frozen
OpenBMI_SSVEP,4,9dc53eb27e3301247b5981c9abf320af49bc9f7e4533c5b0b7bd20e3b4d7516f,5ed87f71ae1fa3a51e5eb5df140aca6515d3ba9857c0e8056ad6b40dc41091b9,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,True,0,all parameters and BN buffers frozen
WBCIC_MI,0,247dd8a58b75cc18a8ecc0b9ba428a2c8249ec6870936d905f007fb295dc6ac9,f34355e70e0bdcdaabd8b523270393711301dd4c95d5d8bd805396d6ceafbb4d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,True,0,all parameters and BN buffers frozen
WBCIC_MI,1,3010f93cb42cf4a000902b489d64847bfbd500a4c1c8e323d2d676daa2a6873b,f34355e70e0bdcdaabd8b523270393711301dd4c95d5d8bd805396d6ceafbb4d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,True,0,all parameters and BN buffers frozen
WBCIC_MI,2,518a587bb83d50ea78a526601d9bd3708011e364513e6d76502c8e567871d0f6,f34355e70e0bdcdaabd8b523270393711301dd4c95d5d8bd805396d6ceafbb4d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,True,0,all parameters and BN buffers frozen
WBCIC_MI,3,00b6659d18cb209f8032d0b964bae77c3195caa71a309307065277473625a60d,f34355e70e0bdcdaabd8b523270393711301dd4c95d5d8bd805396d6ceafbb4d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,True,0,all parameters and BN buffers frozen
WBCIC_MI,4,0d8a3866740181818ca42035181ed42f51b69a6788ed953dc029102b2bfd22de,f34355e70e0bdcdaabd8b523270393711301dd4c95d5d8bd805396d6ceafbb4d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,True,0,all parameters and BN buffers frozen
