task,subject,session,variant,BA,macro_F1,NLL,trials,label
OpenBMI_MI,25,S1,BASELINE,0.79,0.7851662404092072,0.4537980556488037,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,25,S1,PCA_POSITIVE_ONLY_ROUTING,0.79,0.7851662404092072,0.4505890905857086,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,25,S1,SHUFFLED_UTILITY_ROUTING,0.79,0.7851662404092072,0.45562687516212463,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,25,S1,PCA_SIGNED_UTILITY_ROUTING,0.79,0.7851662404092072,0.4507349729537964,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,25,S1,RANDOM_BASIS_0,0.79,0.7851662404092072,0.4539076089859009,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,25,S1,RANDOM_BASIS_1,0.79,0.7851662404092072,0.45360296964645386,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,25,S1,RANDOM_BASIS_2,0.79,0.7851662404092072,0.4540008306503296,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,25,S1,RANDOM_BASIS_3,0.79,0.7851662404092072,0.4535943865776062,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,25,S1,RANDOM_BASIS_4,0.79,0.7851662404092072,0.453597754240036,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,29,S1,BASELINE,0.5700000000000001,0.5664885573142454,0.8159250020980835,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,29,S1,PCA_POSITIVE_ONLY_ROUTING,0.5800000000000001,0.5772946859903382,0.8146297335624695,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,29,S1,SHUFFLED_UTILITY_ROUTING,0.5800000000000001,0.5757575757575757,0.814249575138092,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,29,S1,PCA_SIGNED_UTILITY_ROUTING,0.5800000000000001,0.5772946859903382,0.8144806623458862,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,29,S1,RANDOM_BASIS_0,0.5700000000000001,0.5664885573142454,0.8164879083633423,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,29,S1,RANDOM_BASIS_1,0.5700000000000001,0.5664885573142454,0.8162440657615662,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,29,S1,RANDOM_BASIS_2,0.5700000000000001,0.5664885573142454,0.8161748647689819,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,29,S1,RANDOM_BASIS_3,0.5700000000000001,0.5664885573142454,0.8158950805664062,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,29,S1,RANDOM_BASIS_4,0.5700000000000001,0.5664885573142454,0.8157865405082703,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
